route_pattern,page_file,render_mode,primary_components,data_and_domain_dependencies,access_boundary,metadata_evidence,e2e_declaration,risk_or_unverified_area
/about,src/app/about/page.tsx,server page with async data,@/components/about/AboutPageView|@/components/social-feed/SocialFeed|@/components/seo/BreadcrumbListJsonLd|@/components/seo/WebPageJsonLd,@/data/marketplace-tours-server|@/lib/i18n/hreflang|@/lib/i18n/server-locale|@/lib/organizer-public|@/lib/page-metadata|@/lib/media-resolver|@/lib/locale-breadcrumbs|@/lib/static-page-copy,public,generateMetadata,declared ux-audit:/about;direct refs:ssr-i18n-chrome.spec.ts,no source-level exception recorded
/account/update-password,src/app/account/update-password/page.tsx,server page with async data,./UpdatePasswordView,@/lib/auth-flow,public_utility,not declared in page file,declared ux-audit:/account/update-password;direct refs:auth-flow.spec.ts,no source-level exception recorded
/admin/analytics/funnels,src/app/admin/analytics/funnels/page.tsx,server page,@/components/admin/views/FunnelsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/analytics/funnels,authenticated success state absent from generic guest crawl
/admin/analytics,src/app/admin/analytics/page.tsx,server page,@/components/admin/views/AnalyticsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/analytics,authenticated success state absent from generic guest crawl
/admin/content-freshness,src/app/admin/content-freshness/page.tsx,server page,@/components/admin/views/ContentFreshnessView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/content-freshness,authenticated success state absent from generic guest crawl
/admin/content/documents/[id],src/app/admin/content/documents/[id]/page.tsx,server page with async data,@/components/admin/views/ContentDocumentEditorView,no imported data/domain dependency,admin,not declared in page file,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; authenticated success state absent from generic guest crawl; not resolved by UX route manifest
/admin/content/documents/[id]/preview,src/app/admin/content/documents/[id]/preview/page.tsx,server page with async data,@/components/admin/views/ContentDocumentPreviewView,no imported data/domain dependency,admin_preview,not declared in page file,no resolved E2E route,dynamic fixture/data not exhaustively enumerated; authenticated success state absent from generic guest crawl; not resolved by UX route manifest
/admin/content/documents,src/app/admin/content/documents/page.tsx,server page,@/components/admin/views/ContentDocumentsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/content/documents;direct refs:stage2-visual-acceptance.spec.ts,authenticated success state absent from generic guest crawl
/admin/content/map,src/app/admin/content/map/page.tsx,server page,@/components/admin/views/MapEditorView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/content/map,authenticated success state absent from generic guest crawl
/admin/content/social-feed,src/app/admin/content/social-feed/page.tsx,server page,@/components/admin/views/SocialFeedAdminView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/content/social-feed,authenticated success state absent from generic guest crawl
/admin/content/translations,src/app/admin/content/translations/page.tsx,server page,@/components/admin/views/ContentTranslationsView,no imported data/domain dependency,admin,not declared in page file,declared ux-audit:/admin/content/translations,authenticated success state absent from generic guest crawl
