id,severity,area,url,viewport,component,actual,expected,impact,root_cause,owner,status,evidence,test,pr,exception
SEC-CRON-001,P0,security,/api/cron/*,server,authorizeCronRequest,Spoofable x-vercel-cron headers bypassed auth,Exact Bearer CRON_SECRET required,Unauthorized destructive background jobs,Trusted client-controlled headers,Engineering,fixed-in-worktree,src/lib/cron/authorize-cron.ts,src/lib/cron/authorize-cron.test.ts,,
PICKER-001,P1,commerce,/podbor,all,budget matching,Tours above selected maximum entered main results,normalized price must be <= budget,Wrong commercial recommendation,Scoring tolerance used as eligibility,Product Engineering,fixed-in-worktree,src/lib/podbor/budget.ts,src/lib/podbor/budget.test.ts,,
PICKER-002,P1,commerce,/podbor,all,party size,Group capacity and price unit were ignored,Exact party size and normalized unit required,Wrong match and price,No numeric party-size step,Product Engineering,fixed-in-worktree,src/lib/podbor/matching.ts,src/lib/podbor/budget.test.ts,,
CAP-001,P1,commerce,/tours/*,all,offer CTA,is_bookable=false could still imply booking,CTA driven by explicit capability,Dead or misleading booking flow,Partner flag not mapped,Product Engineering,fixed-in-worktree,src/lib/product-capabilities.ts,src/lib/product-capabilities.test.ts,,
SEC-JSONLD-001,P1,security,public detail pages,all,JSON-LD,Raw JSON.stringify allowed script close injection,Central escaped serializer,Stored XSS,Unsafe script embedding,Engineering,fixed-in-worktree,src/lib/schema-json-ld.ts,src/lib/schema-json-ld.test.ts,,
SEC-NOTIFY-001,P1,security,/api/bookings/notify,server,booking email API,Public body controlled branded email content,Only canonical server operations may send,Phishing and quota abuse,Unauthenticated duplicate notification route,Engineering,fixed-in-worktree,src/app/api/bookings/notify/route.ts,route.test.ts,,
SEC-ROLE-001,P1,auth,/organizer,all,role upgrade,User could add organizer role to own profile,Admin approval only,Privilege escalation,Legacy profile trigger exception,Engineering,migration-pending,supabase/migrations/20260715124500_lock_profile_roles.sql,src/lib/auth-role-security.test.ts,,
RBAC-001,P1,admin,/admin,all,is_admin_with,Preset capabilities ignored unless copied to staff override,Preset plus overrides must be effective,New staff denied or misconfigured,SQL checked only one array,Engineering,migration-pending,supabase/migrations/20260715123000_fix_admin_preset_capabilities.sql,src/lib/admin/admin-preset-capabilities.test.ts,,
CMS-PUBLISH-001,P1,admin,/api/admin/content/documents/bulk-import,server,bulk import,content.edit published by default,Default draft and require content.publish,Unauthorized publication,Missing second capability guard,Engineering,fixed-in-worktree,bulk-import/route.ts,typecheck,,
SEO-404-001,P1,seo,/tours/missing,all,detail route,Unknown entity rendered a soft 404,Real styled 404 before client analytics,Index pollution and false events,Late notFound after streaming,Engineering,fixed-in-worktree,src/middleware.ts,HTTP 404 with rendered H1,,
SEO-LOCALE-001,P1,seo,/en/* and /es/*,all,sitemap and hreflang,Fallback/noindex URLs were listed and canonicalized to RU,Only approved translations in sitemap with self canonical,Conflicting indexation signals,Locale expansion ignored publication status,Engineering+Editorial,fixed-in-worktree,src/lib/i18n/sitemap-locales.ts,705 URLs and zero EN/ES leakage,,
MSG-RLS-001,P1,security,/api/conversations,server,RLS,Direct Data API could bypass server participant derivation,Creation only through ownership-checked server path,Unauthorized conversations,RLS trusted client participant fields,Engineering,migration-pending,supabase/migrations/20260715130000_lock_conversation_participants.sql,conversation-rls.test.ts,,
