id,kind,entity_id,label,value,min_value,max_value,currency,unit,source_id,observed_at,verified_at,expires_at,fetch_method,fallback,status,notes,evidence
DYN-001,currency_conversion,checkout,"USD conversion rates",runtime,not_applicable,not_applicable,multiple,"currency units per USD",SRC-RUNTIME-FRANKFURTER,payload date or current time,missing,missing,"server fetch; revalidate 3600s","hard-coded locale-config rates",review_required,"API response has source and updatedAt; expiry absent",src/lib/exchange-rates.ts
DYN-002,currency_conversion,checkout,"Hard-coded conversion fallback","RUB 92; EUR 0.92; ARS 940; others in config",not_applicable,not_applicable,multiple,"currency units per USD",SRC-RUNTIME-STATIC-FALLBACK,missing,missing,missing,static,"fallback is returned with new Date() as updatedAt",blocked,"Stale constants are made to look freshly observed; do not present as live",src/data/locale-config.ts|src/lib/exchange-rates.ts
DYN-003,exchange_rate,ARS-USD-oficial,"Официальный справочный курс USD",runtime,not_applicable,not_applicable,ARS,"ARS per USD",SRC-BCRA-FX-API,"BCRA fecha field",2026-07-15,"1 hour from fetch","server fetch; revalidate 3600s","explicit unavailable state; no invented timestamp",active,"Official BCRA source name link rate type and observed time are visible; not a bank/card/MEP quote",src/lib/argentina-exchange-rates.ts|src/components/guide/ArgentinaExchangeRates.tsx
DYN-004,exchange_rate,ARS-USD-blue,"Parallel market USD buy/sell",runtime,not_applicable,not_applicable,ARS,"ARS per USD",SRC-RUNTIME-DOLARAPI,upstream fechaActualizacion,missing,missing,"server fetch; revalidate 1800s",none,review_required,"Sensitive unofficial rate; no source disclosure or explicit legality/context owner",src/lib/argentina-exchange-rates.ts|src/components/guide/ArgentinaExchangeRates.tsx
DYN-005,exchange_rate,guide-nav,"Blue rate navigation hint",runtime,not_applicable,not_applicable,ARS,"ARS per USD",SRC-RUNTIME-DOLARAPI,missing,missing,missing,"direct client fetch",manual UI fallback,blocked,"Duplicates server pipeline and does not preserve source timestamp/expiry",src/components/navigation/GuideNavExchangeHint.tsx
DYN-006,flight_price,search,"Flight offers for selected dates",runtime,not_applicable,not_applicable,market currency,"per itinerary",SRC-RUNTIME-TRAVELPAYOUTS,missing,missing,missing,"Travelpayouts API route",empty offers,review_required,"Response exposes provider mode but not fetchedAt/expiresAt; availability disclaimer is consumer-dependent",src/app/api/flights/prices/route.ts
DYN-007,flight_price,content-hubs,"Best route teaser",runtime,not_applicable,not_applicable,market currency,"per itinerary",SRC-RUNTIME-TRAVELPAYOUTS,missing,missing,implicit 1 hour,"unstable_cache revalidate 3600",empty teaser,review_required,"Cache TTL exists only in code and is not carried with the fact",src/lib/flights/hub-price-teasers.ts
DYN-008,flight_price,route-calendar,"Monthly price calendar",runtime,not_applicable,not_applicable,market currency,"per itinerary",SRC-RUNTIME-TRAVELPAYOUTS,missing,missing,implicit 24 hours,"unstable_cache revalidate 86400",empty calendar,review_required,"24-hour cache may be too long for availability; no timestamp in consumer contract",src/lib/flights/route-price-calendar.ts
DYN-009,partner_price,excursion,"Tripster/Sputnik8 excursion quote",runtime,not_applicable,not_applicable,partner currency,"per person or offer",SRC-RUNTIME-TRIPSTER|SRC-RUNTIME-SPUTNIK8,missing,missing,missing,"partner price/events API",catalog estimate,review_required,"estimate flag exists; source observedAt expiresAt and unit are not normalized",src/app/api/excursions/[slug]/price/route.ts
DYN-010,partner_price,partner-tour,"Tripster tour quote",runtime,not_applicable,not_applicable,partner currency,"per person or group",SRC-RUNTIME-TRIPSTER,missing,missing,missing,"Tripster price API",catalog/date estimate,review_required,"estimate flag exists but freshness/provenance contract absent",src/app/api/partner-tours/[slug]/price/route.ts
DYN-011,weather_forecast,argentina-regions,"Three-day forecast including yesterday",runtime,not_applicable,not_applicable,mixed,"°C and mm",SRC-RUNTIME-OPENMETEO,runtime fetchedAt,missing,missing,"client fetch Open-Meteo",error UI,review_required,"fetchedAt exists but expiry/source link and weather warnings are absent",src/lib/argentina-weather-api.ts|src/components/guide/weather/ArgentinaWeatherPanel.tsx
DYN-012,climate_normal,ba-patagonia-iguazu-salta-mendoza,"Monthly temperature and rain normals",static values,not_applicable,not_applicable,mixed,"°C mm days",SRC-RUNTIME-CLIMATE,missing,missing,missing,static,none,blocked,"No source or climate-normal period; values presented as norms",src/data/argentina-climate.ts
DYN-013,season_score,guide,"Editorial travel scores 0-3",static values,0,3,not_applicable,"editorial score",SRC-RUNTIME-CLIMATE,missing,missing,missing,static,none,blocked,"No methodology/source/owner; wording is a recommendation",src/data/argentina-season-matrix.ts
DYN-014,place_price,Place.ticketPrice,"Place ticket price text",runtime_or_seed,not_applicable,not_applicable,unknown,unknown,review_required,missing,missing,missing,"Prisma/seed/CMS fallback",none,blocked,"Free-form price has no source timestamp or expiry",prisma/schema.prisma|src/types/cms-content.ts
DYN-015,place_rating,Place.rating,"Place rating",runtime_or_seed,0,5,not_applicable,"score",review_required,missing,missing,missing,"Prisma/seed/CMS fallback",none,blocked,"Model permits rating without provider review count or date",prisma/schema.prisma|src/types/cms-content.ts
DYN-016,place_popularity,Place.popularity,"Place popularity",runtime_or_seed,0,not_applicable,not_applicable,"score/count unknown",review_required,missing,missing,missing,"Prisma/seed/CMS fallback","CMS fallback = 50",blocked,"No methodology; CMS invents fallback popularity 50",prisma/schema.prisma|src/types/cms-content.ts
