term_id,canonical_ru,official_or_original,aliases_or_avoid,first_use_rule,sensitivity,status,owner,notes
dni,"удостоверение личности иностранца (DNI)",DNI,"не переводить как паспорт","при первом упоминании расшифровать назначение",regulated,active,Migration editor,"Конкретные условия оформления подтверждать официальным источником"
cuil-cuit,"CUIL / CUIT",CUIL / CUIT,"не использовать как взаимозаменяемые","объяснить: CUIL связан с трудовыми и социальными отношениями, CUIT — с налоговой регистрацией",regulated,review_required,Finance editor,"Процедуры и назначение сверять с ANSES/ARCA"
radex,"система RADEX",RADEX,"радекс","объяснить, что это официальная миграционная система",regulated,active,Migration editor,"Название не переводить"
residencia,"вид на жительство (ВНЖ)",residencia,"не приравнивать автоматически к ПМЖ","указать конкретный временный или постоянный статус",regulated,active,Migration editor,"Юридический смысл зависит от типа residencia"
monotributo,"режим монотрибуто",monotributo,"монотрибут; самозанятость","объяснить как упрощённый налоговый режим, не как российскую самозанятость",regulated,active,Finance editor,"Ставки и категории быстро меняются"
peso,"аргентинский песо",peso argentino,"peso; pesos в русском тексте","после первого упоминания допустимо «песо»",financial,active,Finance editor,"Код ARS допустим в таблицах и ценах"
blue-dollar,"курс «синего» доллара",dólar blue,"blue dollar без пояснения","объяснить, что это неофициальный наличный курс; не давать инструкции, нарушающие закон",financial,active,Finance editor,"Любые цифры требуют даты и источника"
dolar-mep,"биржевой курс MEP",dólar MEP,"MEP без пояснения","кратко объяснить механизм и отделить от наличного неофициального курса",regulated,active,Finance editor,"Не давать персональную инвестиционную рекомендацию"
sube,"транспортная карта SUBE",SUBE,"карточка сабе","объяснить назначение при первом упоминании",operational,active,Transport editor,"Тарифы и способы регистрации могут меняться"
remis,"ремис — заказной автомобиль с водителем",remís,"такси как полный синоним","объяснить отличие при первом упоминании",low,active,Transport editor,"Слово склонять осторожно; допустимо повторно «ремис»"
esim,"eSIM",eSIM,"е-сим; esim","при первом упоминании: встроенная цифровая SIM-карта",operational,active,Connectivity editor,"Написание eSIM сохраняется как технический термин"
bodega,"винодельня",bodega,"бодега без пояснения","в русском тексте предпочитать «винодельня»",low,active,Food and wine editor,"Испанскую форму можно дать в скобках для поиска вывесок"
estancia,"эстансия — загородное поместье или хозяйство",estancia,"ранчо как точный эквивалент","при первом упоминании дать короткое пояснение",low,active,Destination editor,"Дальше допустимо «эстансия»"
parrilla,"паррилья — гриль или ресторан, специализирующийся на мясе",parrilla,"парилья; стейк-хаус как полный синоним","пояснить значение по контексту",low,active,Food and wine editor,"Не смешивать блюдо, способ приготовления и заведение"
porteno,"портеньо — житель Буэнос-Айреса",porteño,"портеño; житель Аргентины","объяснить при первом употреблении",low,active,Editorial lead,"Не применять ко всем аргентинцам"
booking,"бронирование",booking,"букинг, если это не бренд Booking.com","использовать русский термин",commercial,active,Commerce editor,"Действие должно соответствовать реальному этапу воронки"
partner-checkout,"оплата на сайте партнёра",checkout externo,"наша оплата; купить у нас","до кнопки назвать партнёра и место завершения оплаты",commercial,active,Commerce editor,"Условия отмены и поддержка принадлежат фактическому поставщику"
