"id","purpose","owner","allowedPages","requiredData","fallback","events","accessibility","performanceBudget","usage","lastUsed","status","schemaVersion","releaseFinding","evidence_checked_at"
"exchange-rates","Show current official and parallel USD/ARS reference rates","Content + finance editor","Guide economy topic and configured guide slots","dolarapi.com official and blue responses","Visible unavailable message; loading skeleton","none_found","Labelled section; aria-busy skeleton; polite error announcement","not_defined; upstream timeout 10s; cache 30m","ArgentinaExchangeRates used by GuideTopicView and GuideWidgetSlot","source_reference_2026-07-15","active_review_required","unversioned","Sensitive financial data has no widget-specific analytics or explicit freshness release gate","2026-07-15"
"exchange-calculator","Planned exchange calculator","Unassigned","Configured on guide economy pillar","Unknown","Renderer returns null","none_found","not_implemented","not_defined","Configured as widget-calculator in guide-pillar-ekonomika; GuideWidgetSlot has no calculator branch","source_reference_2026-07-15","configured_but_unimplemented","unversioned","Navigation exposes a slot whose visible widget is absent","2026-07-15"
"exchange-map","Planned map of exchange points","Unassigned","Configured on guide economy pillar","Unknown; verified venue data would be required","Renderer returns null","none_found","not_implemented","not_defined","Configured as widget-map in guide-pillar-ekonomika; GuideWidgetSlot has no map branch","source_reference_2026-07-15","configured_but_unimplemented","unversioned","Potentially sensitive venue guidance is not implemented and has no source workflow","2026-07-15"
"partner-promo","Planned partner offers block","Commercial editor","Configured on guide economy pillar","Approved partner offers and disclosures","Renderer returns null","none_found","not_implemented","not_defined","Configured as widget-promo in guide-pillar-ekonomika; GuideWidgetSlot has no promo branch","source_reference_2026-07-15","configured_but_unimplemented","unversioned","No implementation, disclosure contract, owner evidence, or analytics","2026-07-15"
"weather-panel","Compare monthly climate and short forecast by region","Content editor","Regions and sights guide","Static climate data plus Argentina weather API forecast","Loading skeleton; inline error; refresh control","none_found","Tabs, labelled forecast, disabled refresh while loading","not_defined","ArgentinaWeatherPanel rendered by GuideWidgetSlot","source_reference_2026-07-15","active_review_required","unversioned","States and accessibility exist; no widget interaction/failure analytics or explicit payload budget","2026-07-15"
"season-matrix","Help choose regions by month","Content editor","Guide, geography hub, selected articles through approved key","Static season matrix data","Static content; no external-data failure","none_found","Labelled table; keyboard buttons; aria-pressed","not_defined","ArgentinaSeasonMatrix used by geography, guide, and TravelWidgetRenderer","source_reference_2026-07-15","active_review_required","unversioned","No usage analytics and no registry-enforced allowed-page policy","2026-07-15"
"tourism-infographic","Provide a scannable overview of Argentina tourism","Content editor","Guide and selected articles through approved key","Static editorial data","Static content; no external-data failure","none_found","Labelled section and map role=img","not_defined","ArgentinaTourismInfographic used by guide views and TravelWidgetRenderer","source_reference_2026-07-15","active_review_required","unversioned","No usage analytics; factual figures lack a visible freshness contract in the widget registry","2026-07-15"
"tourism-timeline","Explain the development of tourism in Argentina","Content editor","Guide and selected articles through approved key","Static editorial timeline","Static content; no external-data failure","none_found","Labelled section; decorative graphics hidden","not_defined","ArgentinaTourismTimeline used by guide views and TravelWidgetRenderer","source_reference_2026-07-15","active_review_required","unversioned","No usage analytics or source/freshness metadata enforced by registry","2026-07-15"
"tour-embed","Surface relevant tours without duplicating catalog logic","Marketplace editor","Blog, destinations, places, guide, marketplace, embed route","Tour listings plus typed TourEmbedConfig","Returns null when no tours; section heading may remain","none_found","Uses semantic section and normal linked tour cards","not_defined","TourEmbedSection referenced from six product surfaces","source_reference_2026-07-15","active_review_required","unversioned","Empty result has no explicit visitor message and usage is not measured at widget level","2026-07-15"
"flights-search","Run partner flight search and disclose external handoff","Commercial integrations","/flights, tour flight modal, /embed/flights/wl","Travelpayouts script URL and parsed search","Loading state; timed error; retry; external Aviasales fallback","flights_widget_ready; flights_widget_error; flights_search_started; flights_results_opened","Polite loading state; role=alert error; keyboard buttons","timeout-based failure after 12s; bundle budget not_defined","FlightsWhitelabelWidgetCore shared by flights page and tour modal","source_reference_2026-07-15","active","unversioned","Best-covered widget; explicit byte/performance budget and runtime usage date are still absent","2026-07-15"
