family,path,slug,entityType,currentSource,overrides,canonicalOwner,indexable,action,notes
homepage,/,,homepage,hybrid,no,CMS landing / site globals (Layer B),yes,KEEP,Tier-1 hub; composition from App Router + site globals
destinations,/destinations,,destination_hub,file,no,Product content owner / Destination editor,yes,KEEP,Tier-1 hub
destinations,/destinations/ba,ba,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/bariloche,bariloche,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/calafate,calafate,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/ushuaia,ushuaia,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/iguazu,iguazu,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/mendoza,mendoza,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/salta,salta,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
destinations,/destinations/patagonia,patagonia,destination,hybrid,no,KB entity + destination file/CMS document,yes,KEEP,from DESTINATION_CONTENT / POPULAR_DESTINATIONS
places,/places,,place_hub,hybrid,no,Destination editor (places repository / seed),yes,KEEP,Tier-1 hub
places,/places/buenos-aires,buenos-aires,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/ushuaia,ushuaia,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/el-calafate,el-calafate,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/el-chalten,el-chalten,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/bariloche,bariloche,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/mendoza,mendoza,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/maipu,maipu,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/lujan-de-cuyo,lujan-de-cuyo,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/uco-valley,uco-valley,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/potrerillos,potrerillos,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/puerto-madryn,puerto-madryn,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/salta,salta,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/purmamarca,purmamarca,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/iguazu-falls,iguazu-falls,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/perito-moreno-glacier,perito-moreno-glacier,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/fitz-roy,fitz-roy,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/los-glaciares-national-park,los-glaciares-national-park,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/nahuel-huapi-national-park,nahuel-huapi-national-park,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/valdes-peninsula,valdes-peninsula,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/cerro-de-los-7-colores,cerro-de-los-7-colores,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/tren-de-las-nubes,tren-de-las-nubes,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/cueva-de-las-manos,cueva-de-las-manos,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/mar-del-plata,mar-del-plata,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/tierra-del-fuego-national-park,tierra-del-fuego-national-park,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/cordoba,cordoba,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/estero-ibera,estero-ibera,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/talampaya,talampaya,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/cafayate,cafayate,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
places,/places/tilcara,tilcara,place,hybrid,no,CMS place resolver with places-seed fallback,yes,KEEP,from PLACES_SEED
