duplicate_group,left_id,left_url,left_source,right_id,right_url,right_source,detection_method,similarity,classification,risk,recommended_action,evidence
баия бланка,kb:bahia-blanca,/baza-znaniy/bahia-blanca,content/knowledge-base/goroda/bahia-blanca.md,place:bahia-blanca,/places/bahia-blanca,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Баия-Бланка» / «Баия-Бланка».
баньядо ла эстрелья,kb:banado-la-estrella,/baza-znaniy/banado-la-estrella,content/knowledge-base/natsionalnye-parki/banado-la-estrella.md,place:banado-la-estrella,/places/banado-la-estrella,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Баньядо-ла-Эстрелья» / «Баньядо-ла-Эстрелья».
барилоче,kb:bariloche,/baza-znaniy/bariloche,content/knowledge-base/goroda/bariloche.md,destination:bariloche,/destinations/bariloche,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Барилоче» / «Барилоче».
барилоче,kb:bariloche,/baza-znaniy/bariloche,content/knowledge-base/goroda/bariloche.md,place:bariloche,/places/bariloche,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Барилоче» / «Барилоче».
барилоче,destination:bariloche,/destinations/bariloche,src/data/destination-pages.ts,place:bariloche,/places/bariloche,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Барилоче» / «Барилоче».
барреаль и эль леонсито,kb:barreal,/baza-znaniy/barreal,content/knowledge-base/dostoprimechatelnosti/barreal.md,place:barreal,/places/barreal,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Барреаль и Эль-Леонсито» / «Барреаль и Эль-Леонсито».
национальныи парк окаменевшие леса харамільо,kb:bosque-petrificado,/baza-znaniy/bosque-petrificado,content/knowledge-base/natsionalnye-parki/bosque-petrificado.md,place:bosque-petrificado,/places/bosque-petrificado,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Окаменевшие леса Харамільо» / «Национальный парк Окаменевшие леса Харамільо».
буэнос аирес,kb:buenos-aires,/baza-znaniy/buenos-aires,content/knowledge-base/goroda/buenos-aires.md,destination:ba,/destinations/ba,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Буэнос-Айрес» / «Буэнос-Айрес».
буэнос аирес,kb:buenos-aires,/baza-znaniy/buenos-aires,content/knowledge-base/goroda/buenos-aires.md,place:buenos-aires,/places/buenos-aires,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Буэнос-Айрес» / «Буэнос-Айрес».
буэнос аирес,destination:ba,/destinations/ba,src/data/destination-pages.ts,place:buenos-aires,/places/buenos-aires,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Буэнос-Айрес» / «Буэнос-Айрес».
катамарка,kb:catamarca,/baza-znaniy/catamarca,content/knowledge-base/goroda/catamarca.md,place:catamarca,/places/catamarca,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Катамарка» / «Катамарка».
эль больсон,kb:el-bolson,/baza-znaniy/el-bolson,content/knowledge-base/goroda/el-bolson.md,place:el-bolson,/places/el-bolson,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Эль-Больсон» / «Эль-Больсон».
эль калафате,kb:el-calafate,/baza-znaniy/el-calafate,content/knowledge-base/goroda/el-calafate.md,destination:calafate,/destinations/calafate,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Эль-Калафате» / «Эль-Калафате».
эль калафате,kb:el-calafate,/baza-znaniy/el-calafate,content/knowledge-base/goroda/el-calafate.md,place:el-calafate,/places/el-calafate,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Эль-Калафате» / «Эль-Калафате».
эль калафате,destination:calafate,/destinations/calafate,src/data/destination-pages.ts,place:el-calafate,/places/el-calafate,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Эль-Калафате» / «Эль-Калафате».
эскель,kb:esquel,/baza-znaniy/esquel,content/knowledge-base/goroda/esquel.md,place:esquel,/places/esquel,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Эскель» / «Эскель».
формоса,kb:formosa,/baza-znaniy/formosa,content/knowledge-base/goroda/formosa.md,place:formosa,/places/formosa,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Формоса» / «Формоса».
качи,kb:kachi,/baza-znaniy/kachi,content/knowledge-base/dostoprimechatelnosti/kachi.md,place:kachi,/places/kachi,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Качи» / «Качи».
кордова,kb:kordova,/baza-znaniy/kordova,content/knowledge-base/goroda/kordova.md,place:cordoba,/places/cordoba,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Кордова» / «Кордова».
корриентес,kb:korrientes,/baza-znaniy/korrientes,content/knowledge-base/goroda/korrientes.md,place:corrientes,/places/corrientes,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Корриентес» / «Корриентес».
ла кумбресита и сьерры кордовы,kb:la-cumbrecita,/baza-znaniy/la-cumbrecita,content/knowledge-base/dostoprimechatelnosti/la-cumbrecita.md,place:la-cumbrecita,/places/la-cumbrecita,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ла-Кумбресита и Сьерры Кордовы» / «Ла-Кумбресита и Сьерры Кордовы».
ла плата,kb:la-plata,/baza-znaniy/la-plata,content/knowledge-base/goroda/la-plata.md,place:la-plata,/places/la-plata,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ла-Плата» / «Ла-Плата».
ла риоха,kb:la-rioja,/baza-znaniy/la-rioja,content/knowledge-base/goroda/la-rioja.md,place:la-rioja,/places/la-rioja,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Ла-Риоха» / «Ла-Риоха».
национальныи парк ланин,kb:lanin,/baza-znaniy/lanin,content/knowledge-base/natsionalnye-parki/lanin.md,place:lanin,/places/lanin,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Ланин» / «Национальный парк Ланин».
лас леньяс,kb:las-lenas,/baza-znaniy/las-lenas,content/knowledge-base/dostoprimechatelnosti/las-lenas.md,place:las-lenas,/places/las-lenas,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Лас-Леньяс» / «Лас-Леньяс».
национальныи парк лиуэ калель,kb:lihue-calel,/baza-znaniy/lihue-calel,content/knowledge-base/natsionalnye-parki/lihue-calel.md,place:lihue-calel,/places/lihue-calel,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Лиуэ-Калель» / «Национальный парк Лиуэ-Калель».
национальныи парк лос алерсес,kb:los-alerces,/baza-znaniy/los-alerces,content/knowledge-base/natsionalnye-parki/los-alerces.md,place:los-alerces-national-park,/places/los-alerces-national-park,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Лос-Алерсес» / «Национальный парк Лос-Алерсес».
национальныи парк лос кардонес,kb:los-cardones,/baza-znaniy/los-cardones,content/knowledge-base/natsionalnye-parki/los-cardones.md,place:los-cardones,/places/los-cardones,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Лос-Кардонес» / «Национальный парк Лос-Кардонес».
лухан,kb:lujan,/baza-znaniy/lujan,content/knowledge-base/goroda/lujan.md,place:lujan,/places/lujan,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Лухан» / «Лухан».
мар де лас пампас,kb:mar-de-las-pampas,/baza-znaniy/mar-de-las-pampas,content/knowledge-base/dostoprimechatelnosti/mar-de-las-pampas.md,place:mar-de-las-pampas,/places/mar-de-las-pampas,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мар-де-лас-Пампас» / «Мар-де-лас-Пампас».
мар дель плата,kb:mar-del-plata,/baza-znaniy/mar-del-plata,content/knowledge-base/goroda/mar-del-plata.md,place:mar-del-plata,/places/mar-del-plata,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мар-дель-Плата» / «Мар-дель-Плата».
мендоса,kb:mendoza,/baza-znaniy/mendoza,content/knowledge-base/goroda/mendoza.md,destination:mendoza,/destinations/mendoza,src/data/destination-pages.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мендоса» / «Мендоса».
мендоса,kb:mendoza,/baza-znaniy/mendoza,content/knowledge-base/goroda/mendoza.md,place:mendoza,/places/mendoza,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мендоса» / «Мендоса».
мендоса,destination:mendoza,/destinations/mendoza,src/data/destination-pages.ts,place:mendoza,/places/mendoza,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мендоса» / «Мендоса».
мерседес корриентес,kb:mercedes-corrientes,/baza-znaniy/mercedes-corrientes,content/knowledge-base/goroda/mercedes-corrientes.md,place:mercedes-corrientes,/places/mercedes-corrientes,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мерседес (Корриентес)» / «Мерседес (Корриентес)».
мерло,kb:merlo,/baza-znaniy/merlo,content/knowledge-base/goroda/merlo.md,place:merlo,/places/merlo,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Мерло» / «Мерло».
некочеа,kb:necochea,/baza-znaniy/necochea,content/knowledge-base/goroda/necochea.md,place:necochea,/places/necochea,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Некочеа» / «Некочеа».
неукен,kb:neuken,/baza-znaniy/neuken,content/knowledge-base/goroda/neuken.md,place:neuquen,/places/neuquen,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Неукен» / «Неукен».
национальныи парк огненная земля,kb:ognennaya-zemlya,/baza-znaniy/ognennaya-zemlya,content/knowledge-base/natsionalnye-parki/ognennaya-zemlya.md,kb:parque-nacional-tierra-del-fuego,/baza-znaniy/parque-nacional-tierra-del-fuego,content/knowledge-base/natsionalnye-parki/parque-nacional-tierra-del-fuego.md,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Огненная Земля» / «национальный парк Огненная Земля».
парана,kb:parana,/baza-znaniy/parana,content/knowledge-base/goroda/parana.md,place:parana,/places/parana,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Парана» / «Парана».
национальныи парк чако,kb:parque-nacional-chaco,/baza-znaniy/parque-nacional-chaco,content/knowledge-base/natsionalnye-parki/parque-nacional-chaco.md,place:parque-nacional-chaco,/places/parque-nacional-chaco,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Чако» / «Национальный парк Чако».
национальныи парк эль пальмар,kb:parque-nacional-el-palmar,/baza-znaniy/parque-nacional-el-palmar,content/knowledge-base/natsionalnye-parki/parque-nacional-el-palmar.md,place:parque-nacional-el-palmar,/places/parque-nacional-el-palmar,src/data/places-seed.ts,exact_normalized_title,1.000,cross_layer_parallel_entity,medium,HUMAN_REVIEW,Совпадение заголовков: «Национальный парк Эль-Пальмар» / «Национальный парк Эль-Пальмар».
