"id","type","url","locale","title","status","author","editor","reviewer","published_at","updated_at","last_fact_checked_at","next_review_at","word_count","hero_media","inline_media_count","source_count","claim_count","internal_links","external_links","search_indexed","canonical","quality_score","action","owner","notes"
"aconcagua-provincial-park","kb_national_park","/baza-znaniy/aconcagua-provincial-park","ru","Провинциальный парк Аконкагуа","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2027-01-03","521","/media/argentina-travel/aconcagua-provincial-park/1625013038104-mendoza___aconcagua__1_.jpg","0","1","6","4","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"aep-eze-stykovka","kb_author_tip","/baza-znaniy/aep-eze-stykovka","ru","AEP и EZE — два разных аэропорта Буэнос-Айреса, и тугая стыковка между ними рушит планы","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-09-28","210","missing","0","1","0","3","0","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"aeroporty","kb_transport","/baza-znaniy/aeroporty","ru","Аэропорты Аргентины и трансферы в город","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-07-04","2026-07-04","2026-12-31","512","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Aeroparque_Jorge_Newbery_December_2015.JPG/1920px-Aeroparque_Jorge_Newbery_December_2015.JPG","0","2","5","9","2","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"aktualen-li-blue-dollar","kb_faq","/baza-znaniy/aktualen-li-blue-dollar","ru","Актуален ли «блю-доллар» в Аргентине в 2026 году?","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-08-14","95","missing","0","0","0","0","0","no","not_public","0","LEGAL_REVIEW","Fact checker + legal reviewer","missing_sensitive_source;thin_content"
"alero-charcamata","kb_attraction","/baza-znaniy/alero-charcamata","ru","Alero Charcamata","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","64","/media/argentina-travel/alero-charcamata/1636727478864-2.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"alersesy-skrytye-ozyora","kb_author_tip","/baza-znaniy/alersesy-skrytye-ozyora","ru","Лос-Алерсес: рыбалка и каяк на тихих озёрах, которые пропускают ради одного дерева","published_public","not_recorded","not_recorded","review_required","not_recorded","2026-06-30","2026-06-30","2026-09-28","147","missing","0","1","0","2","0","yes","yes","100","KEEP","Content editor","publication_gate_clean"
"almacenes-de-ramos-generales-en-la-pampa","kb_attraction","/baza-znaniy/almacenes-de-ramos-generales-en-la-pampa","ru","Старинные универсальные магазины Ла-Пампы","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","240","/media/argentina-travel/almacenes-de-ramos-generales-en-la-pampa/1624480019276-whatsapp_image_2020_08_25_at_22_13_52__1_.jpg","0","1","5","0","1","no","not_public","40","HUMAN_REVIEW","Russian content editor","machine_translation_marker"
"alumine","kb_attraction","/baza-znaniy/alumine","ru","Aluminé","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","65","/media/argentina-travel/alumine/1628780529172-neuquen_alumine_pesca_con_mosca_nikon_d3_001.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
"amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","kb_attraction","/baza-znaniy/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","ru","Amaicha del Valle and Sagrada de los Quilmes City","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-08-21","74","/media/argentina-travel/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes/1623767242450-coplera.jpg","0","1","0","0","1","no","not_public","0","HUMAN_REVIEW","Fact checker + legal reviewer","not_publication_ready;non_russian_title;non_russian_summary"
"andinismo-y-montanismo-en-neuquen","kb_attraction","/baza-znaniy/andinismo-y-montanismo-en-neuquen","ru","Mountaineering in Neuquén","quarantined","not_recorded","not_recorded","review_required","not_recorded","2026-07-07","2026-07-07","2026-10-05","61","/media/argentina-travel/andinismo-y-montanismo-en-neuquen/1628826774542-_mg_6065edit.jpg","0","1","0","0","1","no","not_public","10","DEEP_REWRITE","Content editor","not_publication_ready;non_russian_title;non_russian_summary"
