"inventory_id","corpus","source_path","content_kind","locale","records","published","stub","backlog","site_ready","sensitive","missing_sources","review_due","quality_findings","indexing_state","owner","release_status","evidence_checked_at"
"kb-total","Knowledge base","content/knowledge-base/","markdown entities","ru","689","459","227","3","246","133","29","1","145 orphan records in generated report; 134 short published records; 224 titles without Russian adaptation; 20 site_ready records lack hero; generated report says 120 sensitive but manifest currently computes 133","mixed: publication eligibility not enforced at claim level","Content editor + fact checker","release_blocked","2026-07-15"
"kb-bezopasnost","Knowledge base","content/knowledge-base/bezopasnost/","markdown entities","ru","2","2","0","0","2","2","0","0","1 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-byt","Knowledge base","content/knowledge-base/byt/","markdown entities","ru","1","1","0","0","1","1","0","0","1 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-dengi","Knowledge base","content/knowledge-base/dengi/","markdown entities","ru","13","13","0","0","13","13","1","0","13 site_ready records lack hero; 1 sensitive records lack sources","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-dostoprimechatelnosti","Knowledge base","content/knowledge-base/dostoprimechatelnosti/","markdown entities","ru","383","166","217","0","73","14","0","0","132 published under 120 words; 244 titles start in Latin script; 11 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-faq","Knowledge base","content/knowledge-base/faq/","markdown entities","ru","60","60","0","0","0","37","21","0","29 published under 120 words; 21 sensitive records lack sources","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-goroda","Knowledge base","content/knowledge-base/goroda/","markdown entities","ru","49","41","8","0","41","0","0","0","8 titles start in Latin script; 9 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-klimat","Knowledge base","content/knowledge-base/klimat/","markdown entities","ru","1","1","0","0","0","0","0","0","No aggregate blocker detected by generated manifest","mixed: only site_ready may be publishable","Content editor","inventory_verified","2026-07-15"
"kb-kultura","Knowledge base","content/knowledge-base/kultura/","markdown entities","ru","23","23","0","0","22","4","0","0","11 site_ready records lack hero","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-lichnyy-opyt","Knowledge base","content/knowledge-base/lichnyy-opyt/","markdown entities","ru","29","26","0","3","0","8","3","1","2 titles start in Latin script; 3 sensitive records lack sources","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-marshruty","Knowledge base","content/knowledge-base/marshruty/","markdown entities","ru","7","7","0","0","7","0","0","0","No aggregate blocker detected by generated manifest","mixed: only site_ready may be publishable","Content editor","inventory_verified","2026-07-15"
"kb-medicina","Knowledge base","content/knowledge-base/medicina/","markdown entities","ru","5","5","0","0","3","5","1","0","3 site_ready records lack hero; 1 sensitive records lack sources","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
"kb-natsionalnye-parki","Knowledge base","content/knowledge-base/natsionalnye-parki/","markdown entities","ru","44","42","2","0","30","1","0","0","2 published under 120 words","mixed: only site_ready may be publishable","Content editor","review_required","2026-07-15"
