canonical_id,entity_type,canonical_ru,canonical_es,aliases,parent_or_scope,usage,status,owner,notes
buenos-aires-city,city_region,"Буэнос-Айрес","Ciudad Autónoma de Buenos Aires","CABA; город Буэнос-Айрес; Buenos Aires","отдельная федеральная столица","интерфейс, фильтры, статьи",active,Destination editor,"Не смешивать с провинцией Буэнос-Айрес"
buenos-aires-province,province,"Провинция Буэнос-Айрес","Provincia de Buenos Aires","Buenos Aires Province","Центральная/Пампасная часть страны","интерфейс, фильтры, статьи",active,Destination editor,"Тигре и Ла-Плата относятся сюда, не к CABA"
central,tourism_region,"Центральная Аргентина","Región Centro","Центр; pampa; Пампа","Кордова; Ла-Пампа; Санта-Фе","меню и фильтры",active,Destination editor,"`pampa` допустим как исторический поисковый alias, не как новый ID"
cuyo,tourism_region,"Куйо","Cuyo","Cuyo","Мендоса; Сан-Хуан; Сан-Луис","меню и фильтры",active,Destination editor,"Русская форма — Куйо"
northwest,tourism_region,"Северо-Запад","Noroeste Argentino","NOA; Северо-Запад Аргентины; noa","Катамарка; Хухуй; Ла-Риоха; Сальта; Сантьяго-дель-Эстеро; Тукуман","меню, фильтры, поиск",active,Destination editor,"NOA раскрывать при первом упоминании"
northeast,tourism_region,"Северо-Восток (Литораль)","Litoral / Noreste Argentino","NEA; Литораль; litoral","Чако; Корриентес; Энтре-Риос; Формоса; Мисионес","меню, фильтры, поиск",active,Destination editor,"Литораль шире Аргентинского Междуречья"
mesopotamia,reference_region,"Аргентинское Междуречье","Mesopotamia argentina","Месопотамия","Корриентес; Энтре-Риос; Мисионес","только поясняющий текст и поиск",alias_only,Destination editor,"Не использовать отдельным пунктом меню"
patagonia,tourism_region,"Патагония","Patagonia","Patagonia argentina","Чубут; Неукен; Рио-Негро; Санта-Крус","меню и фильтры",active,Destination editor,"В проекте Огненная Земля вынесена отдельно"
tierra-del-fuego,province_tourism_region,"Огненная Земля","Tierra del Fuego, Antártida e Islas del Atlántico Sur","Тьерра-дель-Фуэго","крайний юг страны","меню и фильтры",active,Destination editor,"Полное официальное название использовать в юридическом контексте"
jujuy,province,"Хухуй","Jujuy","Жужуй","Северо-Запад","интерфейс и статьи",active,Destination editor,"Жужуй сохраняется только как поисковый alias"
ushuaia,city,"Ушуайя","Ushuaia","Усуайя","Огненная Земля","интерфейс и статьи",active,Destination editor,"Не утверждать без оговорки, что это бесспорно самый южный город мира"
puerto-iguazu,city,"Пуэрто-Игуасу","Puerto Iguazú","Puerto Iguazu","Мисионес; Северо-Восток","интерфейс и статьи",active,Destination editor,"Город-ворота к водопадам"
bariloche,city,"Барилоче","San Carlos de Bariloche","Сан-Карлос-де-Барилоче; Bariloche","Рио-Негро; Патагония","интерфейс и статьи",active,Destination editor,"Полное название допустимо при первом упоминании"
el-calafate,city,"Эль-Калафате","El Calafate","Эль Калафате","Санта-Крус; Патагония","интерфейс и статьи",active,Destination editor,"Использовать дефис в русской форме"
el-chalten,city,"Эль-Чальтен","El Chaltén","Эль Чальтен; El Chalten","Санта-Крус; Патагония","интерфейс и статьи",active,Destination editor,"Использовать дефис в русской форме"
nahuel-huapi,national_park,"Нахуэль-Уапи","Nahuel Huapi","Науэль-Уапи","Неукен и Рио-Негро; Патагония","карточка места и статьи",active,Destination editor,"Старую форму оставить поисковым alias"
los-glaciares,national_park,"Лос-Гласьярес","Los Glaciares","Лос-Гласиарес","Санта-Крус; Патагония","карточка места и статьи",active,Destination editor,"Каноническое написание уже закреплено в интерфейсе"
perito-moreno,glacier,"Перито-Морено","Glaciar Perito Moreno","Перито Морено","Лос-Гласьярес; Санта-Крус","карточка места и статьи",active,Destination editor,"Не смешивать с одноимённым городом"
