"source_id","entry_id","url","source_title","source_url","source_type","authority","url_status","checked_at","language","note","official","status","owner","evidence"
"aconcagua-provincial-park:source:1","aconcagua-provincial-park","/baza-znaniy/aconcagua-provincial-park","Visit Argentina — Parque Provincial Aconcagua","https://www.argentina.travel/actividades/parque-provincial-aconcagua","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"aep-eze-stykovka:source:1","aep-eze-stykovka","/baza-znaniy/aep-eze-stykovka","Транспорт-Внутренние-авиабилеты.md, Транспорт-Из-Эсейсы-в-Буэнос-Айрес.md, Транспорт-Как-добраться-из-России-СНГ.md — разделы «Практические советы» и «Частые ошибки»","","aggregator","not_recorded","not_recorded","not_recorded","ru","извлечено из готовых лонгридов проекта","no_or_not_recorded","review_required","Content editor","content/knowledge-base/_index/content.json"
"aeropuertos-argentina-eze-transport","aeroporty","/baza-znaniy/aeroporty","Aeropuertos Argentina — как добраться до Ezeiza (EZE)","https://www.aeropuertosargentina.com/es/EZE/servicios/como-llego","official","primary","verified","2026-07-20","es","Официальные категории наземного транспорта и предупреждение не пользоваться услугами зазывал.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"aeropuertos-argentina-aep-transport","aeroporty","/baza-znaniy/aeroporty","Aeropuertos Argentina — как добраться до Aeroparque (AEP)","https://www.aeropuertosargentina.com/es/AEP/servicios/como-llego","official","primary","verified","2026-07-20","es","Официальные варианты транспорта для Aeroparque.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"argentina-linea-8-route","aeroporty","/baza-znaniy/aeroporty","Secretaría de Transporte — маршруты и тарифная таблица линии 8","https://www.argentina.gob.ar/sites/default/files/t001_a_049_1/T008.pdf","official","primary","verified","2026-07-20","es","Подтверждает обычный и экспресс-маршруты линии 8 между AEP и EZE; конкретные тарифы в статье не фиксируются.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"bcra-phase-3-currency-liberalization","aktualen-li-blue-dollar","/baza-znaniy/aktualen-li-blue-dollar","BCRA — начало третьей фазы программы и валютная либерализация","https://www.bcra.gob.ar/noticias/inicio-de-la-fase-3-del-programa-economico/","official","primary","verified","2026-08-21","es","Подтверждает снятие ограничений на покупку валюты физическими лицами с апреля 2025 года.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"bcra-authorized-currency-entities","aktualen-li-blue-dollar","/baza-znaniy/aktualen-li-blue-dollar","BCRA — покупка долларов физическими лицами через уполномоченные организации","https://www.bcra.gob.ar/noticias/el-bcra-aclara-que-no-hay-ningun-cambio-normativo-para-la-compra-de-dolares-por-parte-de-las-personas-humanas/","official","primary","verified","2026-08-21","es","BCRA указывает, что операции проводят банки и уполномоченные обменные дома и что их нельзя передавать посредникам.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"bna-current-exchange-reference","aktualen-li-blue-dollar","/baza-znaniy/aktualen-li-blue-dollar","Banco de la Nación Argentina — текущие котировки валют","https://www.bna.com.ar/Personas","official","primary","unchecked","2026-08-11","es","Официальная ежедневная точка сравнения; конкретная котировка намеренно не зашита в текст. Повторная проверка 2026-08-21 заблокирована защитой сайта (WAF отклонил автоматический запрос) — нужна ручная проверка человеком, а не автоматическим агентом.","yes","recorded_article_level","Fact checker","content/knowledge-base/_index/content.json"
"alero-charcamata:source:1","alero-charcamata","/baza-znaniy/alero-charcamata","Visit Argentina — Alero Charcamata","https://www.argentina.travel/actividades/alero-charcamata","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"alersesy-skrytye-ozyora:source:1","alersesy-skrytye-ozyora","/baza-znaniy/alersesy-skrytye-ozyora","Национальный-парк-Лос-Алерсес.md — раздел «Советы местного гида»","","aggregator","not_recorded","not_recorded","not_recorded","ru","извлечено из готового лонгрида проекта","no_or_not_recorded","review_required","Content editor","content/knowledge-base/_index/content.json"
"almacenes-de-ramos-generales-en-la-pampa:source:1","almacenes-de-ramos-generales-en-la-pampa","/baza-znaniy/almacenes-de-ramos-generales-en-la-pampa","Visit Argentina — Almacenes de ramos generales en La Pampa","https://www.argentina.travel/actividades/almacenes-de-ramos-generales-en-la-pampa","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"alumine:source:1","alumine","/baza-znaniy/alumine","Visit Argentina — Aluminé","https://www.argentina.travel/actividades/alumine","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"visit-argentina-amaicha-quilmes","amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","/baza-znaniy/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","Visit Argentina — Amaicha del Valle y Ciudad Sagrada de los Quilmes","https://www.argentina.travel/actividades/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","official","primary","verified","2026-07-20","es","not_recorded","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"tucuman-ciudad-sagrada-quilmes","amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","/baza-znaniy/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","Tucumán Turismo — Ciudad Sagrada de Quilmes","https://www.tucumanturismo.gob.ar/articulos/articulo/735/ciudad-sagrada-de-quilmes","official","primary","verified","2026-07-20","es","not_recorded","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"andinismo-y-montanismo-en-neuquen:source:1","andinismo-y-montanismo-en-neuquen","/baza-znaniy/andinismo-y-montanismo-en-neuquen","Visit Argentina — Andinismo y montañismo en Neuquén","https://www.argentina.travel/actividades/andinismo-y-montanismo-en-neuquen","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"angastaco:source:1","angastaco","/baza-znaniy/angastaco","Visit Argentina — Angastaco","https://www.argentina.travel/actividades/angastaco","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"antofagasta-de-la-sierra:source:1","antofagasta-de-la-sierra","/baza-znaniy/antofagasta-de-la-sierra","Visit Argentina — Antofagasta de la Sierra","https://www.argentina.travel/actividades/antofagasta-de-la-sierra","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"argentina-apostille-tad","apostil-i-perevod-dokumentov","/baza-znaniy/apostil-i-perevod-dokumentov","Cancillería Argentina — Apostilla y legalización con validez internacional","https://cancilleria.gob.ar/es/servicios/apostilla-legalizacion-con-validez-internacional-tad","official","primary","verified","2026-07-17","es","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"migration-document-rules","apostil-i-perevod-dokumentov","/baza-znaniy/apostil-i-perevod-dokumentov","Decreto 616/2010 — правила иностранных документов для миграционных процедур","https://www.argentina.gob.ar/normativa/nacional/decreto-616-2010-167004/texto","official","primary","verified","2026-07-17","es","not_recorded","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"area-natural-protegida-rio-limay:source:1","area-natural-protegida-rio-limay","/baza-znaniy/area-natural-protegida-rio-limay","Visit Argentina — Área Natural Protegida Río Limay","https://www.argentina.travel/actividades/area-natural-protegida-rio-limay","official","not_recorded","not_recorded","not_recorded","es","INPROTUR; текст автопереведён, фото с официального CDN — атрибуция argentina.travel","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"argentina-foreign-driving-licences","arenda-avto-i-vozhdenie","/baza-znaniy/arenda-avto-i-vozhdenie","Argentina.gob.ar — лицензии иностранных водителей","https://www.argentina.gob.ar/node/377747","official","primary","verified","2026-07-20","es","паспорт и условия признания национальных либо международных водительских удостоверений","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-road-safety-recommendations","arenda-avto-i-vozhdenie","/baza-znaniy/arenda-avto-i-vozhdenie","Gendarmería Nacional — рекомендации для поездок по стране","https://www.argentina.gob.ar/seguridad/recomendaciones-para-viajar-por-el-pais-de-manera-segura","official","primary","verified","2026-07-20","es","ремни, ближний свет, документы, скорость и оборудование","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-national-traffic-law","arenda-avto-i-vozhdenie","/baza-znaniy/arenda-avto-i-vozhdenie","Ley 24.449 — национальный закон о дорожном движении","https://www.argentina.gob.ar/normativa/nacional/818/actualizacion","official","primary","verified","2026-07-20","es","требование ближнего или дневного света на национальных трассах","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"telepase-foreign-users-2026","arenda-avto-i-vozhdenie","/baza-znaniy/arenda-avto-i-vozhdenie","Argentina.gob.ar — TelePASE для иностранных пользователей","https://www.argentina.gob.ar/noticias/telepase-permite-la-adhesion-de-personas-y-empresas-extranjeras-para-circular-por-rutas-y","official","primary","verified","2026-07-20","es","регистрация иностранцев и международной карты в TelePASE с апреля 2026 года","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-national-parks-route-planning","argentina-10-dney","/baza-znaniy/argentina-10-dney","Administración de Parques Nacionales — парки Аргентины","https://www.argentina.gob.ar/parquesnacionales","official","primary","verified","2026-07-20","es","Официальная точка входа для проверки режима Игуасу и Лос-Гласьярес.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"aeropuertos-argentina-route-planning","argentina-10-dney","/baza-znaniy/argentina-10-dney","Aeropuertos Argentina — сеть аэропортов","https://www.aeropuertosargentina.com/es/nuestros-aeropuertos","official","primary","verified","2026-07-20","es","Официальный справочник аэропортов для проверки кодов и наземной логистики.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"argentina-national-parks-route-planning","argentina-2-nedeli","/baza-znaniy/argentina-2-nedeli","Administración de Parques Nacionales — парки Аргентины","https://www.argentina.gob.ar/parquesnacionales","official","primary","verified","2026-07-20","es","Официальная точка входа для проверки режима Игуасу, Лос-Гласьярес, Огненной Земли и Науэль-Уапи.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"aeropuertos-argentina-route-planning","argentina-2-nedeli","/baza-znaniy/argentina-2-nedeli","Aeropuertos Argentina — сеть аэропортов","https://www.aeropuertosargentina.com/es/nuestros-aeropuertos","official","primary","verified","2026-07-20","es","Официальный справочник аэропортов для проверки кодов и наземной логистики.","yes","verified","Content editor","content/knowledge-base/_index/content.json"
"argentina-3-nedeli:source:1","argentina-3-nedeli","/baza-znaniy/argentina-3-nedeli","Administración de Parques Nacionales — каталог национальных парков","https://www.argentina.gob.ar/parquesnacionales","official","not_recorded","not_recorded","not_recorded","es","официальные страницы парков, правила посещения и оперативные объявления","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"argentina-3-nedeli:source:2","argentina-3-nedeli","/baza-znaniy/argentina-3-nedeli","Parque Nacional Iguazú — официальная страница","https://www.argentina.gob.ar/parquesnacionales/nea/parque-nacional-iguazu","official","not_recorded","not_recorded","not_recorded","es","планирование визита и требование соблюдать временной слот билета","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"argentina-3-nedeli:source:3","argentina-3-nedeli","/baza-znaniy/argentina-3-nedeli","Aeropuertos Argentina — каталог аэропортов","https://www.aeropuertosargentina.com/es/nuestros-aeropuertos","official","not_recorded","not_recorded","not_recorded","es","официальные страницы аэропортов и транспортная информация","yes","recorded_article_level","Content editor","content/knowledge-base/_index/content.json"
"argentina-citizenship-dnu-366-2025","argentina-vs-drugie-strany","/baza-znaniy/argentina-vs-drugie-strany","DNU 366/2025 — изменения миграционного режима и закона о гражданстве","https://www.argentina.gob.ar/normativa/nacional/decreto-366-2025-413297/texto","official","primary","verified","2026-07-17","es","Подтверждает два года непрерывного легального проживания без выездов и подачу на натурализацию через Migraciones.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-citizenship-law-346","argentina-vs-drugie-strany","/baza-znaniy/argentina-vs-drugie-strany","Ley 346 — гражданство Аргентины","https://www.argentina.gob.ar/normativa/nacional/ley-346-48854/actualizacion","official","primary","verified","2026-07-17","es","Подтверждает гражданство по рождению на территории Аргентины, кроме предусмотренного законом исключения для детей иностранных дипломатов.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
"argentina-russia-visa-free-travel","argentina-vs-drugie-strany","/baza-znaniy/argentina-vs-drugie-strany","МИД Аргентины — безвизовые поездки между Аргентиной и Россией","https://www.cancilleria.gob.ar/es/actualidad/comunicados/argentina-rusia-hoy-entra-en-vigencia-la-supresion-de-visas","official","primary","verified","2026-07-17","es","Подтверждает безвизовый въезд граждан России до 90 дней в каждом периоде 180 дней только с туристической целью.","yes","verified","Fact checker","content/knowledge-base/_index/content.json"
