"id","url","reason","redirect_to","status","owner","evidence"
"zemletryaseniya-i-vulkany","/baza-znaniy/zemletryaseniya-i-vulkany","Короткий обзор природных рисков объединён с проверенным руководством по безопасности.","/baza-znaniy/bezopasnost-argentina","archived_source_retained","Content architect","content/knowledge-base/bezopasnost/zemletryaseniya-i-vulkany.md + generated Next.js archive redirects"
"bankovskij-schet","/baza-znaniy/bankovskij-schet","Материал объединён с актуальным руководством по банкам и переводам, чтобы не дублировать быстро меняющиеся процедуры.","/baza-znaniy/banki-i-perevody","archived_source_retained","Content architect","content/knowledge-base/dengi/bankovskij-schet.md + generated Next.js archive redirects"
"inflyatsiya-i-ekonomika","/baza-znaniy/inflyatsiya-i-ekonomika","Короткий обзор экономики объединён с проверенным руководством по деньгам и бюджету.","/baza-znaniy/gid-po-dengam","archived_source_retained","Content architect","content/knowledge-base/dengi/inflyatsiya-i-ekonomika.md + generated Next.js archive redirects"
"sdacha-nedvizhimosti-v-arendu","/baza-znaniy/sdacha-nedvizhimosti-v-arendu","Короткий юридически чувствительный обзор снят с публикации до расширения первичными источниками; вход сохранён через путеводитель по переезду.","/baza-znaniy/gid-relokanta","archived_source_retained","Content architect","content/knowledge-base/dengi/sdacha-nedvizhimosti-v-arendu.md + generated Next.js archive redirects"
"alero-charcamata","/baza-znaniy/alero-charcamata","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/patagonia","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/alero-charcamata.md + generated Next.js archive redirects"
"almacenes-de-ramos-generales-en-la-pampa","/baza-znaniy/almacenes-de-ramos-generales-en-la-pampa","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/pampa","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/almacenes-de-ramos-generales-en-la-pampa.md + generated Next.js archive redirects"
"alumine","/baza-znaniy/alumine","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/patagonia","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/alumine.md + generated Next.js archive redirects"
"andinismo-y-montanismo-en-neuquen","/baza-znaniy/andinismo-y-montanismo-en-neuquen","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/patagonia","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/andinismo-y-montanismo-en-neuquen.md + generated Next.js archive redirects"
"angastaco","/baza-znaniy/angastaco","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/noa","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/angastaco.md + generated Next.js archive redirects"
"antofagasta-de-la-sierra","/baza-znaniy/antofagasta-de-la-sierra","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/noa","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/antofagasta-de-la-sierra.md + generated Next.js archive redirects"
"area-natural-protegida-rio-limay","/baza-znaniy/area-natural-protegida-rio-limay","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/patagonia","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/area-natural-protegida-rio-limay.md + generated Next.js archive redirects"
"arte-urbano-en-buenos-aires","/baza-znaniy/arte-urbano-en-buenos-aires","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/buenos-aires","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/arte-urbano-en-buenos-aires.md + generated Next.js archive redirects"
"artesania-formosena","/baza-znaniy/artesania-formosena","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива.","/baza-znaniy/litoral","archived_source_retained","Content architect","content/knowledge-base/dostoprimechatelnosti/artesania-formosena.md + generated Next.js archive redirects"
