"id","component_file","source_line","source_column","interaction_kind","http_method","endpoint_pattern","source_signals","test_evidence","confidence","route_patterns","route_count"
"1ac0b55f6eddaa2d","src/app/account/update-password/UpdatePasswordView.tsx","26","30","http_request","POST","/api/auth/update-password","fetch(""/api/auth/update-password"", { method: ""POST"", headers: { ""Content-Type"": ""application/json"" }, body: JSON.stringify({ password }), })","source_only","high","/account/update-password","1"
"27f64564b8a98620","src/app/account/update-password/UpdatePasswordView.tsx","55","9","form_submit","POST","handler","<form onSubmit={submit} className=""mt-6 space-y-4"">","source_only","medium","/account/update-password","1"
"a3f23f849ad43adc","src/app/admin/page.tsx","186","15","ui_change","","","onChange={(event) => setPeriod(event.target.value as AnalyticsPeriod)}","source_only","medium","/admin","1"
"54dc9d8ecd322da6","src/app/profile/bookings/page.tsx","226","9","data_mutation","DELETE","supabase_or_repository","next.delete(requestId)","source_only","medium","/profile/bookings","1"
"5a2a6a2f2163b2e0","src/app/profile/bookings/page.tsx","263","11","ui_click","","","onClick={() => setTab(""bookings"")}","source_only","medium","/profile/bookings","1"
"9a731015bca00b52","src/app/profile/bookings/page.tsx","274","11","ui_click","","","onClick={() => setTab(""waitlist"")}","source_only","medium","/profile/bookings","1"
"86772e21c5a06fab","src/app/profile/bookings/page.tsx","366","29","ui_click","","","onClick={() => handleCancel(booking.id)}","source_only","medium","/profile/bookings","1"
"33d8d3a4562ea933","src/app/profile/bookings/page.tsx","461","17","ui_click","","","onClick={() => void refreshAllYouTravelRequests()}","source_only","medium","/profile/bookings","1"
"1a46758bd4757283","src/app/profile/bookings/page.tsx","551","23","ui_click","","","onClick={() => void refreshYouTravelRequest(request.id)}","source_only","medium","/profile/bookings","1"
"1d28565433359d9f","src/app/profile/reviews/page.tsx","64","29","http_request","GET","/api/reviews","fetch(""/api/reviews"")","source_only","high","/profile/reviews","1"
"633452316c9bb0cd","src/app/profile/reviews/page.tsx","93","27","http_request","GET","/api/reviews","fetch(""/api/reviews"")","source_only","high","/profile/reviews","1"
"c726fed765dfe481","src/app/profile/reviews/page.tsx","172","21","ui_click","","","onClick={() => void handleSubmit(review.id)}","source_only","medium","/profile/reviews","1"
"f8465fc46c7d96fb","src/app/profile/settings/page.tsx","84","7","ui_click","","","onClick={onClick}","source_only","medium","/profile/settings","1"
"23989903939f22e3","src/app/profile/settings/page.tsx","243","7","form_submit","POST","handler","<form onSubmit={handleSubmit} className={cabinetPanelClass} >","source_only","medium","/profile/settings","1"
"a6e720bf3732e4d6","src/app/profile/settings/page.tsx","263","21","ui_change","","","onChange={(event) => handleAvatarSelect(event.target.files?.[0] ?? null)}","source_only","medium","/profile/settings","1"
"1edd2859f244fc8f","src/app/profile/settings/page.tsx","268","23","ui_click","","","onClick={() => fileInputRef.current?.click()}","source_only","medium","/profile/settings","1"
"a0b01f884296ace9","src/app/profile/settings/page.tsx","277","25","ui_click","","","onClick={handleAvatarRemove}","source_only","medium","/profile/settings","1"
"9ded9f88d20146b8","src/app/profile/settings/page.tsx","293","25","ui_change","","","onChange={(event) => { setFirstName(event.target.value); setSaved(false); }}","source_only","medium","/profile/settings","1"
"76b9db34c4a3e7b2","src/app/profile/settings/page.tsx","305","25","ui_change","","","onChange={(event) => { setLastName(event.target.value); setSaved(false); }}","source_only","medium","/profile/settings","1"
"730a8f0cadc72260","src/app/profile/settings/page.tsx","319","23","ui_change","","","onChange={(nextDate) => { setDateOfBirth(nextDate); setSaved(false); }}","source_only","medium","/profile/settings","1"
"cb05faed07777007","src/app/profile/settings/page.tsx","348","21","ui_change","","","onChange={(event) => { setPhone(formatPhoneInput(event.target.value)); setSaved(false); }}","source_only","medium","/profile/settings","1"
"8c445f156726eeb0","src/app/profile/settings/page.tsx","364","19","ui_change","","","onChange={(event) => { setEmail(event.target.value); setSaved(false); }}","source_only","medium","/profile/settings","1"
"38725e8a9273faac","src/app/profile/settings/page.tsx","389","21","ui_change","","","onChange={(event) => { setCountry(event.target.value); setSaved(false); }}","source_only","medium","/profile/settings","1"
"76e147e68b081f8a","src/app/profile/settings/page.tsx","440","15","ui_click","","","onClick={() => { logout(); router.push(""/""); }}","source_only","medium","/profile/settings","1"
"011aec4ae974e70e","src/app/profile/settings/page.tsx","442","17","client_navigation","","/","router.push(""/"")","source_only","high","/profile/settings","1"
"daaa90ca60e4f114","src/components/admin/AdminCommandPalette.tsx","72","15","client_navigation","","dynamic","router.push(href)","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"0d2e896c7d7c5dd3","src/components/admin/AdminCommandPalette.tsx","160","15","ui_change","","","onChange={(event) => setQuery(event.target.value)}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"25d25135feb857c1","src/components/admin/AdminCommandPalette.tsx","161","15","ui_keydown","","","onKeyDown={onInputKeyDown}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"bd955e4c09689afe","src/components/admin/AdminCommandPalette.tsx","187","17","ui_click","","","onClick={() => navigate(item.href)}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"3e05c394028daa3f","src/components/admin/AdminLayoutControls.tsx","25","7","ui_click","","","onClick={onClick}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"d2c4993119e0f146","src/components/admin/AdminLayoutControls.tsx","47","7","ui_click","","","onClick={toggleDenseTables}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"213ea0a67d47b828","src/components/admin/AdminLayoutControls.tsx","61","7","ui_click","","","onClick={toggleDarkSidebar}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"a0c3f9ac2708ba9b","src/components/admin/AdminLayoutControls.tsx","75","7","ui_click","","","onClick={toggleSimpleNavigation}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"8c85e64d46f76f22","src/components/admin/AdminLayoutControls.tsx","91","7","ui_click","","","onClick={() => openAdminCommandPalette()}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"535daa04bf84784f","src/components/admin/AdminNotificationsMenu.tsx","54","23","http_request","PATCH","/api/admin/notifications/[id]/read","fetch(`/api/admin/notifications/${item.id}/read`, { method: ""PATCH"" })","source_only","high","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"066e659d4c188e53","src/components/admin/AdminNotificationsMenu.tsx","74","25","http_request","POST","/api/admin/notifications/mark-all-read","fetch(""/api/admin/notifications/mark-all-read"", { method: ""POST"" })","source_only","high","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"e144617a31430b3c","src/components/admin/AdminNotificationsMenu.tsx","111","15","ui_click","","","onClick={() => void markAllAsRead()}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"82fbac07bd1ad9e6","src/components/admin/AdminNotificationsMenu.tsx","142","23","ui_click","","","onClick={() => { void markOneRead(item); setOpen(false); }}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"5823ca9634b8f3bf","src/components/admin/AdminNotificationsMenu.tsx","158","21","ui_click","","","onClick={() => void markOneRead(item)}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"07be9e49f2e7ca16","src/components/admin/AdminShell.tsx","39","50","ui_click","","","onClick={() => openAuth(""default"")}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"1f1459ac1155b0a7","src/components/admin/AdminSidebar.tsx","138","7","ui_click","","","onClick={onNavigate}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
"77be5c81287bb4db","src/components/admin/AdminSidebar.tsx","205","11","ui_click","","","onClick={() => setMoreOpen(true)}","source_only","medium","/admin|/admin/analytics|/admin/analytics/funnels|/admin/content-freshness|/admin/content/documents|/admin/content/documents/[id]|/admin/content/documents/[id]/preview|/admin/content/forum|/admin/content/knowledge|/admin/content/map|/admin/content/shop|/admin/content/social-feed|…","51"
