id,area,route_or_scope,interaction,component_evidence,expected_effect,input_modes,automated_evidence,coverage_gap
INT-001,global,all public pages,skip link,src/components/SiteChrome.tsx,jump to #main-content,keyboard/focus,source only,not explicitly E2E tested
INT-002,global,all public pages,desktop navigation and mega-menu,src/components/navigation/DesktopSiteNav.tsx|src/components/navigation/MegaMenuDropdown.tsx,navigate primary sections,mouse/keyboard,tests/e2e/ux-audit.spec.ts navigation,hover focus and cross-browser menu behavior not asserted
INT-003,global,all public pages,mobile navigation drawer,src/components/navigation/SiteNavDrawer.tsx|src/components/navigation/MobileSiteNavMenu.tsx,open close and navigate nested sections,touch/keyboard,src/lib/mobile-nav.test.ts,no real iOS Safari execution
INT-004,global,all public pages,global search,src/components/SiteSearch.tsx,search and open result,keyboard/touch,source only,autocomplete zero-result offline and typo tolerance not E2E covered
INT-005,global,all public pages,profile menu,src/components/auth/ProfileMenu.tsx,open account menu and sign out,keyboard/touch,source only,authenticated state absent from generic E2E
INT-006,global,all public pages,locale and currency switcher,src/components/LocaleCurrencySwitcher.tsx,change locale and currency,keyboard/touch,tests/e2e/ssr-i18n-chrome.spec.ts covers SSR locale,switch interaction and persistence not E2E covered
INT-007,global,all public pages,cookie consent,src/components/CookieConsentBanner.tsx,accept reject or customize consent,keyboard/touch,src/lib/personalization/interaction-consent.test.ts,browser persistence not evidenced
INT-008,global,footer,newsletter form,src/components/FooterNewsletter.tsx,submit consented email,keyboard/touch,source only,success error retry and double-submit not E2E covered
INT-009,auth,/?auth=sign-in,auth modal,src/components/auth/AuthModal.tsx,email lookup sign-in registration reset,keyboard/touch,tests/e2e/auth-flow.spec.ts|tests/e2e/ux-audit.spec.ts,mocked partial flow; live success unverified
INT-010,auth,/account/update-password,password recovery form,src/app/account/update-password/UpdatePasswordView.tsx,validate recovery session and update password,keyboard/touch,tests/e2e/auth-flow.spec.ts,only missing-session state covered
INT-011,home,/,multi-search tabs,src/components/marketplace/HomeMultiSearch.tsx,switch tours excursions and flights modes,keyboard/touch,tests/e2e/stage2-visual-acceptance.spec.ts route only,active focus long labels not asserted
INT-012,home,/,tour search form,src/components/marketplace/SearchBlock.tsx,submit filters to catalog,keyboard/touch,source only,form state preservation not E2E covered
INT-013,home,/,flight search block,src/components/marketplace/HomeFlightSearchBlock.tsx,open or submit partner flight search,touch/keyboard,tests/e2e/flights-mobile.spec.ts targets /flights,home integration not covered
INT-014,tours,/tours,catalog filter bar,src/components/marketplace/FilterBar.tsx,filter catalog,mouse/keyboard/touch,tests/e2e/ux-audit.spec.ts modal close only,filter correctness not E2E covered
INT-015,tours,/tours,mobile filters sheet,src/components/marketplace/CatalogFiltersSheet.tsx,open edit apply and clear filters,touch/keyboard,tests/e2e/ux-audit.spec.ts,only dialog close control asserted
INT-016,tours,/tours,filter popover,src/components/marketplace/FilterPopover.tsx,open and choose filter options,mouse/keyboard,source only,focus restoration and outside click not E2E covered
INT-017,tours,/tours,date range picker,src/components/marketplace/DateRangePicker.tsx,select departure range,keyboard/touch,src/lib/marketplace-departure-calendar.test.ts,browser date selection not covered
INT-018,tours,/tours,sorting and view toolbar,src/components/marketplace/CatalogToolbar.tsx,sort and change catalog view,keyboard/touch,src/lib/sort-tours.test.ts,URL persistence not E2E covered
INT-019,tours,/tours,lazy load more,src/components/marketplace/CatalogLazyLoadFooter.tsx,request and display next items,scroll/keyboard,source only,loading error retry and double fetch unverified
INT-020,tours,/tours,map/list view,src/components/marketplace/CatalogMapView.tsx,browse matching offers on map and list,touch/keyboard,source only,accessible alternate path not E2E covered
INT-021,tour detail,/tours/[slug],photo gallery lightbox,src/components/shared/DetailPhotoGallery.tsx,open navigate and close gallery,mouse/keyboard/touch,tests/e2e/visual-smoke.spec.ts page screenshot,keyboard reduced motion and missing image unverified
INT-022,tour detail,/tours/[slug],departure dates modal,src/components/marketplace/TourDepartureDatesModal.tsx,select departure and continue,keyboard/touch,partner E2E specs cover selected fixtures,all providers and error states not exhaustive
INT-023,tour detail,/tours/[slug],booking panel and checkout modal,src/components/tour-detail/TourBookingPanel.tsx|src/components/tour-detail/checkout/TourCheckoutModal.tsx,create native request or honest partner handoff,keyboard/touch,tests/e2e/youtravel-booking.spec.ts|tests/e2e/tripster-partner-invariants.spec.ts,requires fixture partner slugs; payment completion not covered
INT-024,excursions,/excursions,catalog filters sheet,src/components/excursions/ExcursionCatalogFiltersSheet.tsx,filter excursion catalog,touch/keyboard,src/lib/excursion-catalog-filters.test.ts,browser interaction not covered
INT-025,excursions,/excursions,search suggestions,src/components/excursions/ExcursionSearchSuggestions.tsx,autocomplete destination or query,keyboard/touch,src/lib/excursion-search-index.test.ts,ARIA keyboard flow not E2E covered
INT-026,excursion detail,/excursions/[slug],schedule date picker,src/components/excursions/ExcursionScheduleDatePicker.tsx,select available date and time,keyboard/touch,src/lib/excursion-calendar.test.ts|src/lib/excursion-schedule.test.ts,dynamic route excluded from generic E2E
INT-027,excursion detail,/excursions/[slug],booking modal,src/components/excursions/ExcursionBookingModal.tsx,collect details and hand off to partner,keyboard/touch,src/lib/tripster/booking-api.test.ts,full browser success and error not covered
INT-028,flights,/flights,Travelpayouts whitelabel search,src/components/flights/FlightsWhitelabelWidgetCore.tsx,partner flight search in Shadow DOM,touch/keyboard,tests/e2e/flights-mobile.spec.ts,Chromium only; Safari and blocked-third-party fallback unverified
INT-029,map,/mapa-argentina,map canvas controls and markers,src/components/map/ArgentinaMapLibreCanvasInner.tsx,pan zoom select marker and request geolocation,touch/mouse/keyboard,src/lib/map-accessibility.test.ts|tests/e2e/stage2-visual-acceptance.spec.ts,real touch geolocation and browser matrix unverified
