id,type,url,title,inbound_internal_links,outgoing_internal_links,hub_path,hub_coverage,sitemap_expected,orphan_status,orphan_reasons,source_path,evidence
kb:arenda-avto-i-vozhdenie,transport,/baza-znaniy/arenda-avto-i-vozhdenie,Аренда авто и вождение в Аргентине,14,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/transport/arenda-avto-i-vozhdenie.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:chto-stoit-deneg-prioritety,guide,/baza-znaniy/chto-stoit-deneg-prioritety,Что реально стоит ваших денег и дней: приоритеты по Аргентине,6,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/puteshestvie/chto-stoit-deneg-prioritety.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:dostupnaya-sreda-i-invalidnost,guide,/baza-znaniy/dostupnaya-sreda-i-invalidnost,Доступная среда: путешествие и жизнь с инвалидностью в Аргентине,4,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/puteshestvie/dostupnaya-sreda-i-invalidnost.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:empanadas,guide,/baza-znaniy/empanadas,Эмпанадас: как читать главную уличную еду Аргентины,2,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/kultura/empanadas.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:folklor-i-muzyka,guide,/baza-znaniy/folklor-i-muzyka,"Музыка Аргентины: фольклор, рок и куартето",2,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/kultura/folklor-i-muzyka.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:istoriya-zheleznyh-dorog,transport,/baza-znaniy/istoriya-zheleznyh-dorog,История железных дорог Аргентины: расцвет и упадок,1,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/transport/istoriya-zheleznyh-dorog.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:lgbt-travel,guide,/baza-znaniy/lgbt-travel,ЛГБТ-путешествия и жизнь в Аргентине,1,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/kultura/lgbt-travel.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:mezhgorodnie-avtobusy,transport,/baza-znaniy/mezhgorodnie-avtobusy,Междугородние автобусы Аргентины (micros),1,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/transport/mezhgorodnie-avtobusy.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:narodnye-svyatye,guide,/baza-znaniy/narodnye-svyatye,Народные святые Аргентины: Гаучито Хиль и Дифунта Корреа,3,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/kultura/narodnye-svyatye.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:pochemu-net-pryamyh-reisov,transport,/baza-znaniy/pochemu-net-pryamyh-reisov,Почему нет прямых рейсов из России и как летают на самом деле,2,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/transport/pochemu-net-pryamyh-reisov.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
kb:poezda,transport,/baza-znaniy/poezda,Поезда дальнего следования в Аргентине,3,0,/baza-znaniy,yes,yes,needs_review,no_related_or_outgoing_link,content/knowledge-base/transport/poezda.md,Статические ссылки и структурированные related-поля; runtime/CMS ссылки не сканировались.
