"id","path","title","topic","risk_level","jurisdiction","locale","publication_status","site_ready","confidence","last_verified","review_due_at","source_count","official_source_count","primary_source_url","source_authority","reviewer","translation_status","review_status","release_status","finding","evidence_checked_at"
"aktualen-li-blue-dollar","content/knowledge-base/faq/aktualen-li-blue-dollar.md","Актуален ли «блю-доллар» в Аргентине в 2026 году?","finance","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","content/knowledge-base/dostoprimechatelnosti/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes.md","Amaicha del Valle and Sagrada de los Quilmes City","immigration","high","Argentina","ru","stub","false","medium","2026-07-07","2026-08-21","1","1","https://www.argentina.travel/actividades/amaicha-del-valle-y-ciudad-sagrada-de-los-quilmes","Visit Argentina — Amaicha del Valle y Ciudad Sagrada de los Quilmes","","ru_source_only","review_required","not_release_ready","Not marked site_ready; Content status is stub; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"apostil-i-perevod-dokumentov","content/knowledge-base/pereezd/apostil-i-perevod-dokumentov.md","Апостиль и присяжный перевод документов для Аргентины","immigration","high","Argentina","ru","published","true","high","2026-07-04","2026-08-18","2","2","https://www.argentina.gob.ar/migraciones","Dirección Nacional de Migraciones — требования к документам","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"argentina-vs-drugie-strany","content/knowledge-base/pereezd/argentina-vs-drugie-strany.md","Аргентина или другая страна: честное сравнение для переезда","immigration","high","Argentina","ru","published","true","low","2026-07-05","2026-08-19","1","0","../pereezd/stoit-li-pereezzhat.md","Записи базы: стоит ли переезжать, гражданство, виза и граница, Россия vs Аргентина","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"banki-i-perevody","content/knowledge-base/dengi/banki-i-perevody.md","Как завести и перевести деньги в Аргентину","finance","high","Argentina","ru","published","true","high","2026-07-04","2026-08-18","4","1","https://www.westernunion.com/us/en/send-money-to-argentina.html","Western Union — Send Money to Argentina","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"bankovskij-schet","content/knowledge-base/dengi/bankovskij-schet.md","Банковский счёт и финансы релоканта в Аргентине","finance","high","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","3","3","https://www.bcra.gob.ar/inmigrantes.asp","BCRA — счёт для мигрантов (финансовая инклюзия)","","ru_source_only","review_required","hold_for_human_approval","No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"besplatna-li-medicina-dlya-turista","content/knowledge-base/faq/besplatna-li-medicina-dlya-turista.md","Бесплатна ли медицина в Аргентине для туриста?","health","high","Argentina","ru","published","false","medium","2026-07-01","2026-08-15","2","1","https://www.boletinoficial.gob.ar/detalleAviso/primera/326096/20250529","Boletín Oficial — Decreto 366/2025","","ru_source_only","review_required","not_release_ready","Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"bezopasno-li-odnoj-zhenshchine","content/knowledge-base/faq/bezopasno-li-odnoj-zhenshchine.md","Безопасно ли путешествовать по Аргентине одной женщине?","legal","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"bezopasno-li-v-argentine","content/knowledge-base/faq/bezopasno-li-v-argentine.md","Безопасно ли путешествовать по Аргентине?","health","high","Argentina","ru","published","false","medium","2026-06-30","2026-08-14","0","0","","","","ru_source_only","source_missing","blocked","No source in record; Not marked site_ready; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
"bezopasnost-argentina","content/knowledge-base/bezopasnost/bezopasnost-argentina.md","Безопасность в Аргентине: реальные риски","health","medium","Argentina","ru","published","true","medium","2026-07-02","2026-08-16","2","0","https://www.travelsafe-abroad.com/argentina/","Travel Safe Abroad — Argentina / Buenos Aires safety rating","","ru_source_only","review_required","hold_for_human_approval","No official primary source; No named reviewer or claim-level approval evidence in current schema","2026-07-15"
