"id","domain","event","recipient","channel","trigger","template_or_renderer","locale","subject_or_title","cta_or_link","preferences_and_unsubscribe","dedupe_or_retry","status","gap","severity","evidence"
"AUTH-01","auth","Регистрация по email","Новый пользователь","Supabase Auth email","auth.signUp; подтверждение email включено","supabase/templates/confirmation.html","ru only","Подтвердите регистрацию — Пора в Аргентину","https://www.goargentina.ru/auth/confirm?token_hash={{ .TokenHash }}&type=signup&next=/profile","Не применяются; обязательное сервисное письмо","Одноразовый TokenHash; retry управляет Supabase","implemented","URL жёстко привязан к www production и не использует SiteURL/RedirectTo; нет EN/ES/PT вариантов","P2","supabase/config.toml; supabase/templates/confirmation.html; src/lib/auth-register-server.ts"
"AUTH-02","auth","Запрос сброса пароля","Пользователь с email","Supabase Auth email","POST /api/auth/request-password-reset -> resetPasswordForEmail","supabase/templates/recovery.html","ru only","Изменение пароля — Пора в Аргентину","https://www.goargentina.ru/auth/confirm?token_hash={{ .TokenHash }}&type=recovery&next=/account/update-password","Не применяются; security email","Одноразовый TokenHash; срок действия Supabase","implemented","Нет локализованных вариантов; production URL жёстко записан в HTML","P2","src/app/api/auth/request-password-reset/route.ts; supabase/templates/recovery.html; docs/auth-email-setup.md"
"AUTH-03","auth","Пароль успешно изменён","Владелец аккаунта","Supabase security email","auth.updateUser password; security notifications Supabase","supabase/templates/password_changed_notification.html","ru only","Уведомление Supabase Security notifications","Текст советует восстановить доступ и связаться с поддержкой, но активных ссылок нет","Не применяются; security email","Управляет Supabase","implemented","Нет прямой ссылки на восстановление и контакты поддержки; нет локализаций","P2","supabase/templates/password_changed_notification.html; src/app/api/auth/update-password/route.ts; src/components/settings/ProfilePasswordSection.tsx"
"AUTH-04","auth","Смена email","Старый и/или новый адрес согласно double confirm","Supabase Auth email","auth.updateUser email; double_confirm_changes=true","supabase/templates/email_change.html","ru only","Подтверждение смены email — Пора в Аргентину","https://www.goargentina.ru/auth/confirm?token_hash={{ .TokenHash }}&type=email_change&next=/profile","Не применяются; security email","Одноразовый TokenHash; retry управляет Supabase","implemented","Шаблон не объясняет double-confirm сценарий и жёстко привязан к production URL; нет локализаций","P2","supabase/config.toml; supabase/templates/email_change.html; src/lib/supabase-auth-provider.ts"
"AUTH-05","auth","Приглашение пользователя администратором","Приглашённый пользователь","Supabase Auth email","Supabase inviteUserByEmail вне публичного UI","supabase/templates/invite.html","ru only","Приглашение на «Пора в Аргентину»","https://www.goargentina.ru/auth/confirm?token_hash={{ .TokenHash }}&type=invite&next=/profile","Не применяются; сервисное письмо","Одноразовый TokenHash","partial","Текст обещает задать пароль, но CTA ведёт в /profile, а не в форму установки пароля; публичная точка запуска не найдена","P1","supabase/templates/invite.html; src/app/auth/confirm/route.ts"
"AUTH-06","auth","Вход по magic link","Пользователь","Supabase Auth email","Публичный UI/вызов signInWithOtp не найден","supabase/templates/magic_link.html","ru only","Ссылка для входа — Пора в Аргентину","https://www.goargentina.ru/auth/confirm?token_hash={{ .TokenHash }}&type=magiclink&next=/profile","Не применяются","Одноразовый TokenHash","dormant","Шаблон настроен, но сценарий не доступен в интерфейсе и не покрыт пользовательским E2E","P3","supabase/config.toml; supabase/templates/magic_link.html; src/app/auth/confirm/route.ts"
"AUTH-07","auth","Повторное подтверждение важного действия","Пользователь","Supabase Auth email","Supabase reauthentication; точка вызова в продукте не найдена","supabase/templates/reauthentication.html","ru only","Код подтверждения — Пора в Аргентину","Шестизначный/OTP-код без ссылки","Не применяются; security email","Срок действия OTP управляет Supabase","dormant","Нет подтверждённого UI, который запрашивает и принимает этот код; нет локализаций","P2","supabase/config.toml; supabase/templates/reauthentication.html"
"EMAIL-01","booking","Код доступа к гостевым заявкам","Гость по указанному email","Resend email","POST /api/bookings/lookup после защитных проверок","renderBookingLookupCodeEmail","ru only","Код доступа к вашим заявкам","Код в теле письма; ссылки нет","Без пользовательских preferences; сервисное письмо","OTP хранится/проверяется сервером; отдельный retry доставки отсутствует","implemented","Нет delivery log и повторной отправки; при сбое Resend пользователь получает только общий результат API","P1","src/app/api/bookings/lookup/route.ts; src/lib/notifications/email-delivery.ts; src/lib/notifications/email-templates/booking-lookup-code.ts"
"EMAIL-02","booking","Заявка на тур создана","Турист или гость","Resend email","Создание booking через API или bookings-store","renderBookingConfirmedEmail","ru only","Заявка принята: {tourTitle}","/profile/bookings/{bookingId}","Категория booking; List-Unsubscribe только при валидном user UUID","Нет устойчивой очереди; ошибки non-blocking и проглатываются","implemented_with_gap","Для гостя CTA ведёт в защищённый /profile вместо безопасного гостевого lookup; сбой доставки не виден оператору","P1","src/lib/bookings-notify.ts; src/lib/notifications/email-delivery.ts; src/lib/notifications/email-templates/booking-confirmed.ts"
"EMAIL-03","booking","Статус заявки изменён","Турист или гость","Resend email + in-app + push","Изменение booking в user/admin API и expire-unpaid cron","renderBookingStatusChangedEmail; emitBookingStatusNotification","ru only","Статус заявки: {status}","/profile/bookings/{bookingId}","Категория booking; unsubscribe для зарегистрированного пользователя","In-app dedupe включает changedAt; email/push устойчивой очереди не имеют","implemented_with_gap","Гостевой CTA закрыт авторизацией; Promise errors проглатываются; один сбой не ставится в retry","P1","src/lib/bookings-notify.ts; src/app/api/bookings/[id]/route.ts; src/app/api/admin/bookings/[id]/route.ts"
"EMAIL-04","booking","Копия изменения статуса заявки","Администратор платформы","Resend email","Каждый notifyBookingStatusChanged","renderBookingStatusChangedEmail adminCopy","ru only","Заявка {id}: статус изменён","CTA отсутствует","Preferences и unsubscribe отсутствуют","Нет dedupe/retry; отправка non-blocking","implemented_with_gap","Админ-письмо не содержит CTA в операционный экран заявки; доставка зависит от единственного LEADS_NOTIFY_EMAIL","P2","src/lib/bookings-notify.ts; src/lib/notifications/email-delivery.ts"
"EMAIL-05","payment","Оплата, частичная оплата или возврат зафиксированы","Турист/гость и администратор","Resend email","Локальное обновление payment status или проверенный Stripe/MP webhook","renderPaymentReceivedEmail","ru only","Оплата получена/Частичная оплата/Возврат оформлен","/profile/bookings/{bookingId}","Категория payment; один unsubscribe URL строится из userId","Нет устойчивой очереди; webhook вызывает отправку fire-and-forget","implemented_with_gap","Пользователь и администратор объединены в поле to и получают один пользовательский unsubscribe token; гостевой CTA закрыт авторизацией; нет idempotency доставки письма","P1","src/lib/bookings-notify.ts; src/lib/notifications/email-delivery.ts; src/app/api/webhooks/payments/stripe/route.ts; src/app/api/webhooks/payments/mercadopago/route.ts"
