"source_id","source_url","destination_id","destination_url","status","owner","evidence"
"zemletryaseniya-i-vulkany","/baza-znaniy/zemletryaseniya-i-vulkany","bezopasnost-argentina","/baza-znaniy/bezopasnost-argentina","merged_with_generated_permanent_redirect","Content architect","Короткий обзор природных рисков объединён с проверенным руководством по безопасности."
"bankovskij-schet","/baza-znaniy/bankovskij-schet","banki-i-perevody","/baza-znaniy/banki-i-perevody","merged_with_generated_permanent_redirect","Content architect","Материал объединён с актуальным руководством по банкам и переводам, чтобы не дублировать быстро меняющиеся процедуры."
"inflyatsiya-i-ekonomika","/baza-znaniy/inflyatsiya-i-ekonomika","gid-po-dengam","/baza-znaniy/gid-po-dengam","merged_with_generated_permanent_redirect","Content architect","Короткий обзор экономики объединён с проверенным руководством по деньгам и бюджету."
"sdacha-nedvizhimosti-v-arendu","/baza-znaniy/sdacha-nedvizhimosti-v-arendu","gid-relokanta","/baza-znaniy/gid-relokanta","merged_with_generated_permanent_redirect","Content architect","Короткий юридически чувствительный обзор снят с публикации до расширения первичными источниками; вход сохранён через путеводитель по переезду."
"alero-charcamata","/baza-znaniy/alero-charcamata","patagonia","/baza-znaniy/patagonia","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"almacenes-de-ramos-generales-en-la-pampa","/baza-znaniy/almacenes-de-ramos-generales-en-la-pampa","pampa","/baza-znaniy/pampa","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"alumine","/baza-znaniy/alumine","patagonia","/baza-znaniy/patagonia","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"andinismo-y-montanismo-en-neuquen","/baza-znaniy/andinismo-y-montanismo-en-neuquen","patagonia","/baza-znaniy/patagonia","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"angastaco","/baza-znaniy/angastaco","noa","/baza-znaniy/noa","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"antofagasta-de-la-sierra","/baza-znaniy/antofagasta-de-la-sierra","noa","/baza-znaniy/noa","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"area-natural-protegida-rio-limay","/baza-znaniy/area-natural-protegida-rio-limay","patagonia","/baza-znaniy/patagonia","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"arte-urbano-en-buenos-aires","/baza-znaniy/arte-urbano-en-buenos-aires","buenos-aires","/baza-znaniy/buenos-aires","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"artesania-formosena","/baza-znaniy/artesania-formosena","litoral","/baza-znaniy/litoral","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"astroturismo-en-san-juan","/baza-znaniy/astroturismo-en-san-juan","cuyo","/baza-znaniy/cuyo","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
"autodromo-internacional-de-rio-hondo","/baza-znaniy/autodromo-internacional-de-rio-hondo","noa","/baza-znaniy/noa","merged_with_generated_permanent_redirect","Content architect","Неотредактированная однотемная карточка импорта объединена с каноническим русскоязычным региональным материалом; исходник и атрибуция сохранены для редакционного архива."
