id,severity,area,route,viewport,role,actual,expected,user_impact,business_impact,trust_risk,root_cause,evidence,dependency,effort,reversibility,owner,status,test,commit,preview,production,exception
P0-GA-024,P0,supabase-quota,/api/health,all,all,"REST/Auth 402 exceed_egress_quota with production public anon JWT","Data API and Auth healthy on canonical ref","CMS/catalog/auth/CRM down","No promotion or paid traffic",critical,"Supabase spend cap or plan restriction on uooxrypocahomoqzdvzy","Iteration 1 probe 2026-08-19; sb-project-ref header; 402 body class only in evidence","Owner billing / spend cap",S,high,owner,blocked_external,"health dependency_quota after deploy",,,503 down,do_not_fake_pass
P0-GA-025,P0,postgres-ipv6,/api/health,all,ops,"Direct db.<ref>.supabase.co is AAAA-only; IPv4 ENETUNREACH; Vercel uses verified NON_POOLING","IPv4-reachable same-ref Postgres (session pooler)","Serverless cannot open direct PG","Partner fallbacks and ops blocked",critical,"Supabase direct hostname has no A record","getaddrinfo AAAA-only; TCP ENETUNREACH 51ms; pooler :5432/:6543 OK","Add POSTGRES_URL session pooler same ref",S,high,owner+ops,blocked_external,"health dependency_unreachable + pooler prefer",,,503 down,do_not_swap_project
P0-GA-001,P0,production-data-plane,/api/health*,all,all,"REST and verified direct Postgres dependency_unavailable; production health 503 down","Required production data paths healthy with canonical target identity and incident evidence","Catalog/auth/CMS/operations unavailable or untrustworthy","No safe promotion or paid traffic",critical,"REST confirmed exceed_egress_quota; latest exact preview selects only canonical POSTGRES_URL_NON_POOLING but that verified target is also unavailable","Production curl 16:17Z; exact ed29b335 preview health/browser/smoke; local canonical direct PG succeeds","Supabase owner spend-cap/network/credentials action; Vercel runtime-log access",L,medium,owner+ops,partially_diagnosed_exact_preview,"health target attestation + incident smoke",ed29b335,3hwMwixfCmgr5nx8gWkj26SskbJW,"503 down on old 993e82fb","Target identity is proven on preview; connectivity and production same-artifact proof remain open"
P1-GA-001,P1,catalog-api,/api/tours|/api/excursions,all,tourist,"Production outage returns HTTP 200 empty payload","Unavailable returns LKG or 503; empty only after confirmed reads","User believes there are no products","Lost outbound/lead conversion",high,"Repository/server wrappers collapsed query errors and missing clients into []/null","Live production curl; local fault/API smoke; Vercel build status",P0-GA-001,M,high,engineering,candidate_built_remote_browser_blocked,"21 focused + 2058 suite + fault smoke",efd7f30a,2P6Pnq4T1dY1kbn4VQQ8ksAKVu6R,"old artifact false 200 empty",remote_preview_and_promotion_required
P1-GA-002,P1,catalog-ui,/excursions,1440x900|390x844,tourist,"Production empty-state says no excursions while dependencies are down","Actionable unavailable state with retry/support","Misleading zero inventory","Lost conversion",high,"API/source failure was indistinguishable from confirmed empty","Production baseline + local fault browser QA desktop/mobile",P1-GA-001,S,high,engineering,candidate_built_remote_browser_blocked,"browser local production bundle + outage fixture",efd7f30a,2P6Pnq4T1dY1kbn4VQQ8ksAKVu6R,"old artifact false empty",remote_preview_and_promotion_required
P1-GA-003,P1,catalog-ui,/tours,390x844,tourist,"Production shows 0 tours above-fold while error-state is below fold","Unavailable state precedes count/sort controls or valid LKG is shown","Mobile user sees contradictory state","Trust and conversion loss",high,"Component inferred availability from array length; server collapsed failures to []","Production baseline + local LKG browser QA 390x844",P1-GA-001,S,high,design+engineering,candidate_built_remote_browser_blocked,"mobile local production bundle",efd7f30a,2P6Pnq4T1dY1kbn4VQQ8ksAKVu6R,"old artifact contradictory state",remote_preview_and_promotion_required
P1-GA-004,P1,production-access,Supabase production ref,all,ops,"Canonical uoox project inaccessible via connected MCP","Read-only access to migrations/tables/advisors/logs","Root cause and parity cannot be proven","Longer MTTR and unsafe release",high,"Connector account/scope mismatch","MCP list_projects/get_project permission denied",P0-GA-001,S,high,owner,blocked,"read-only MCP reconciliation",,,unverified,none
P1-GA-005,P1,deployment-access,Vercel project,all,ops,"Exact candidates may recover after 9–12 minutes, but WP-025 is currently rejected as Account is blocked; CLI is unauthorized and connector scope returns 403","Stable exact-SHA deployment plus read-only build/runtime/browser access","WP-024 remote artifact is proven; WP-025 has no deployment ID and infrastructure diagnosis still lacks logs/stable account state","Release diagnosis and immutable WP-025 evidence remain incomplete",high,"External Vercel account/build state is volatile and the active credentials lack go-argentina project scope","WP-024 deployment 9nLoBa success; WP-025 5c79c4cb GitHub status failure Account is blocked at 20:30:07Z; CLI Not authorized; connector 403 scope go-argentina",P0-GA-001,S,high,owner+ops,blocked_volatile_account,"immutable preview health + browser + smoke after account recovery",5c79c4cb,,"production old SHA remains down","No preview ID; local exact evidence cannot substitute Vercel deployment evidence"
P1-GA-006,P1,migrations,app_migrations,all,ops,"107-file build metadata but live journal/checksum parity unavailable","Canonical target journal and RLS/grants reconciled","Schema/data behavior uncertain","Unsafe DDL and release",high,"Data plane and target read access unavailable","Baseline 102 vs local/build 107",P1-GA-004,M,medium,ops,blocked,"baseline verify + advisors",,,unverified,none
P1-GA-007,P1,recoverability,backup/restore,all,owner,"Managed backup/PITR unconfirmed; restore rehearsal not_run","Encrypted backup and disposable restore verified","Potential unrecoverable data loss","Asset continuity risk",critical,"Owner secrets/offline age identity/disposable target not configured","docs/ops/backup-restore.md",P1-GA-004,L,medium,owner,open,"backup manifest + restore verify",,,not_run,none
P1-GA-008,P1,product-truth,global+marketplace+guides,all,tourist,"Production copy overstates marketplace verification reviews and payment behavior","Copy names source and proven internal request vs partner handoff boundaries","Misleading commercial expectation","Legal/trust exposure",high,"Marketing copy was not capability-driven","Locale/source contract; local production browser desktop/mobile",capability-audit,M,high,product+legal,candidate_final_preview_blocked,"15 focused + 2058 suite + browser",ef447d8e,,"old copy remains visible","Vercel account blocked; production promotion pending"
P1-GA-009,P1,release-candidate,repository,all,engineering,"Original worktree remains dirty but clean candidate branch is isolated from it","Controlled release ancestry containing only approved candidate commits","Regression attribution is now possible","Safer preview and integration",low,"Resolved by separate worktree and conflict-free cherry-picks from origin/main","a07327db clean status; origin/main ancestor; 54 focused/evidence tests",owner-change-boundaries,M,high,engineering,resolved_candidate,"diff ownership + release gate",a07327db,,not_deployed,production_promotion_still_gated
P1-GA-010,P1,observability,analytics/ops reports,all,owner,"Readiness evidence stale/unbound; production health down","Healthy deployment-bound reports and consent proof","No trustworthy funnel measurement","Growth decisions unsafe",medium,"Reports predate current artifact or lack SHA/origin/freshness","var/ops/project-readiness-last.json score 0/D",P0-GA-001,M,high,analytics,open,"analytics readiness + clean browser",,,unverified,none
P2-GA-001,P2,build-runtime,edge-import-trace,all,engineering,"Next build warns that Supabase browser client uses process.version in Edge runtime","Edge graph contains only compatible imports","Potential future middleware incompatibility","Build/runtime upgrade risk",medium,"Supabase SSR browser package enters Edge import trace","Production build warning 2026-07-29T03:04Z",none,M,high,engineering,open,"edge build contract",,,warning,none
P2-GA-002,P2,performance,/guide/bezopasnost|/guide/yazyk,1440x900|390x844,tourist,"Editorial pillars loaded full marketplace and resolved every tour detail before SSR","Editorial content does not depend on an unused catalog","Cold route appeared stuck and partner APIs received unnecessary detail traffic","Engagement loss and avoidable partner rate limits",medium,"GuideSlugPage fetched marketplace for every pillar although only one schema has tour-embed","Before/after curl; catalog deadline and Tripster 429 logs; desktop/mobile browser",none,M,high,engineering,resolved_candidate,"20 focused + 1999 suite + exact build/browser",b53daadd,,not_deployed,Vercel_account_blocked
P2-GA-003,P2,performance-reliability,/guide/pogoda-i-sezonnost,all,tourist,"Optional tour data previously blocked the route and unavailable details were silently filtered into empty","Editorial guide streams independently; optional widget distinguishes total outage from confirmed empty","Weather guide remains usable under total preview data outage","Protected engagement and quieter route-level errors",low,"Page-level await plus public-detail filter collapsing unavailable candidates into null","Exact 189684fa build/fault tests plus NnmUYR desktop/mobile unavailable-widget browser proof",P0-GA-001,M,high,engineering,resolved_preview,"10 focused + 2001 suite + 8 evidence + exact build/remote browser",189684fa,NnmUYR17cEok1QXihkGjpMEgCqQA,"production old SHA remains down",production_promotion_blocked_by_P0
P1-GA-011,P1,governance-evidence,repository-surface,all,engineering,"Historical inventory recorded 129 pages 234 handlers and 58 curated interactions while current source has 157 pages and 312 handlers","Deterministic current route/data/interaction surface with stable source evidence and stale gate","Critical routes and effects could be omitted from audit and QA scope","Regression and release decisions used an incomplete map",high,"Manual snapshots had no generator or CI freshness check","WP-005 AST/import scan; CSV uniqueness/width/source-line contracts; exact deployment",none,M,high,engineering,resolved_preview,"4 focused + 2005 suite + inventory check + CSV contracts",91be7962,6Y9E1pGV4DD85N5U9JzqztLadTEc,"not applicable to old runtime; production remains down","static source does not prove live backend effect or test coverage"
