id,route_pattern,kind,methods,access,indexing,locale_behavior,source_file,implementation_status,automated_test_evidence,notes
PAGE-001,/about,page,GET,public,indexable_candidate,optional /en and /es prefix rewritten by middleware,src/app/about/page.tsx,implemented_route,declared ux-audit:/about;direct refs:ssr-i18n-chrome.spec.ts,
PAGE-002,/account/update-password,page,GET,public_utility,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/account/update-password/page.tsx,implemented_route,declared ux-audit:/account/update-password;direct refs:auth-flow.spec.ts,
PAGE-003,/admin/analytics/funnels,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/analytics/funnels/page.tsx,implemented_route,declared ux-audit:/admin/analytics/funnels,
PAGE-004,/admin/analytics,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/analytics/page.tsx,implemented_route,declared ux-audit:/admin/analytics,
PAGE-005,/admin/content-freshness,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content-freshness/page.tsx,implemented_route,declared ux-audit:/admin/content-freshness,
PAGE-006,/admin/content/documents/[id],page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content/documents/[id]/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-007,/admin/content/documents/[id]/preview,page,GET,admin_preview,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content/documents/[id]/preview/page.tsx,implemented_route,no resolved E2E route,dynamic pattern requires fixture/data
PAGE-008,/admin/content/documents,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content/documents/page.tsx,implemented_route,declared ux-audit:/admin/content/documents;direct refs:stage2-visual-acceptance.spec.ts,
PAGE-009,/admin/content/map,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content/map/page.tsx,implemented_route,declared ux-audit:/admin/content/map,
PAGE-010,/admin/content/social-feed,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content/social-feed/page.tsx,implemented_route,declared ux-audit:/admin/content/social-feed,
PAGE-011,/admin/content/translations,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/content/translations/page.tsx,implemented_route,declared ux-audit:/admin/content/translations,
PAGE-012,/admin/feature-flags,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/feature-flags/page.tsx,implemented_route,declared ux-audit:/admin/feature-flags,
PAGE-013,/admin/leads,page,GET,admin,noindex_intended,optional /en and /es prefix rewritten by middleware,src/app/admin/leads/page.tsx,redirect,declared ux-audit:/admin/leads,
