check_id,domain,entity_or_scope,requirement,status,severity,verification_level,measured_at,total,affected,evidence,notes
DQ-001,knowledge_base,knowledge_entries,canonical entity id,pass,high,artifact,2026-07-15T00:01:24.738Z,689,0,var/ops/content-audit.json,"All audited entries have canonicalEntityId"
DQ-002,knowledge_base,knowledge_entries,unique ids,pass,high,artifact,2026-07-15T00:01:24.738Z,689,0,var/ops/content-audit.json,"No duplicate id groups"
DQ-003,knowledge_base,knowledge_routes,unique canonical routes,pass,high,artifact,2026-07-15T00:01:24.738Z,689,0,var/ops/content-audit.json,"No duplicate route groups"
DQ-004,knowledge_base,geocoded_entries,valid coordinate ranges,pass,high,artifact,2026-07-15T00:01:24.738Z,689,0,var/ops/content-audit.json,"No latitude or longitude outside valid global ranges"
DQ-005,knowledge_base,publication_gate,critical content is quarantined,pass,blocker,artifact,2026-07-15T00:01:24.738Z,388,0,var/ops/content-audit.json,"388 entries are quarantined; none of the 299 published entries carries a critical issue"
DQ-006,knowledge_base,indexable_entries,no critical issues in indexable content,pass,blocker,artifact,2026-07-15T00:01:24.738Z,299,0,var/ops/content-audit.json,"Critical findings are excluded from the indexable set"
DQ-007,knowledge_base,indexable_entries,Russian title completeness,fail,high,artifact,2026-07-15T00:01:24.738Z,299,64,var/ops/content-audit.json,"64 indexable entries have title language detection other than ru; proper-name false positives require editorial review"
DQ-008,knowledge_base,indexable_entries,Russian summary completeness,fail,high,artifact,2026-07-15T00:01:24.738Z,299,40,var/ops/content-audit.json,"40 indexable entries have summary language detection other than ru"
DQ-009,knowledge_base,sensitive_entries,source required before indexing,pass,blocker,artifact,2026-07-15T00:01:24.738Z,29,0,var/ops/content-audit.json,"29 missing-sensitive-source findings exist but none is indexable"
DQ-010,knowledge_base,knowledge_entries,content depth,fail,high,artifact,2026-07-15T00:01:24.738Z,689,163,var/ops/content-audit.json,"163 thin_content findings"
DQ-011,knowledge_base,knowledge_entries,hero media present,fail,medium,artifact,2026-07-15T00:01:24.738Z,689,20,var/ops/content-audit.json,"20 missing_hero findings"
DQ-012,knowledge_base,knowledge_entries,no mixed-script words,fail,high,artifact,2026-07-15T00:01:24.738Z,689,9,var/ops/content-audit.json,"9 mixed_script_word findings"
DQ-013,knowledge_base,knowledge_entries,no placeholder content,fail,blocker,artifact,2026-07-15T00:01:24.738Z,689,2,var/ops/content-audit.json,"2 placeholder_content findings; publication gate keeps critical entries quarantined"
DQ-014,knowledge_base,knowledge_entries,verification freshness,warning,medium,artifact,2026-07-15T00:01:24.738Z,689,3,var/ops/content-audit.json,"3 verification_due findings"
DQ-015,knowledge_base,knowledge_entries,verification timestamp present,warning,medium,artifact,2026-07-15T00:01:24.738Z,689,3,var/ops/content-audit.json,"3 entries have no verifiedAt value"
DQ-016,knowledge_base,knowledge_entries,source provenance recorded,warning,high,artifact,2026-07-15T00:01:24.738Z,689,69,var/ops/content-audit.json,"69 entries have sourceCount=0; not every entity is sensitive, so remediation must be editorial rather than automatic"
DQ-017,places,place_catalog,unique ids slugs names and coordinates,pass,high,test,2026-07-15T03:16:10.000Z,10,0,src/lib/places-catalog-integrity.test.ts,"10 integrity tests passed"
DQ-018,places,collections_and_itineraries,no orphan place references,pass,high,test,2026-07-15T03:16:10.000Z,3,0,src/lib/places-catalog-integrity.test.ts,"Collection places and itinerary stops resolve; collection and itinerary slugs are unique"
DQ-019,media,media_manifest,local asset exists,pass,blocker,release_gate,2026-07-15T00:01:24.738Z,2208,0,var/ops/release-gate-logs/content-media.log,"All manifest localPath files exist under public"
DQ-020,media,runtime_fallback,required tour fallback exists,pass,high,release_gate,2026-07-15T00:01:24.738Z,1,0,var/ops/release-gate-logs/content-media.log,"/media/placeholders/tour-card.jpg is registered"
DQ-021,media,media_metadata,MIME dimensions rights and responsive weight,not_measured,high,gap,2026-07-15T03:20:00.000Z,,,docs/release-2026-07/data-quality-report.csv,"Existing integrity evidence proves file presence only; it does not prove MIME dimensions licensing or byte budgets"
DQ-022,booking,booking_state_machine,only valid state transitions,pass,blocker,test,2026-07-15T03:16:10.000Z,3,0,src/lib/booking-state-machine.test.ts,"Organizer lifecycle tourist cancellation rules and terminal transitions passed"
DQ-023,payments,payment_checkout,provider idempotency and replay safety,pass,blocker,test,2026-07-15T03:16:10.000Z,9,0,src/lib/payments/payment-integrity.test.ts,"Payment key reuse reconciliation and duplicate captured webhook tests passed"
DQ-024,booking,atomic_booking_creation,idempotency and inventory reservation in one transaction,code_verified,blocker,code,2026-07-15T03:20:00.000Z,,,supabase/migrations/20250715000000_atomic_booking_creation.sql,"Migration exists; this report does not repeat a production transaction test"
DQ-025,database,prisma_models,unique constraints for primary Prisma catalogs,code_verified,high,code,2026-07-15T03:20:00.000Z,,,prisma/schema.prisma,"Unique slugs and relation uniqueness are declared for Place Collection Itinerary SavedPlace and PlaceRelation"
