id,severity,area,url,viewport,component,actual,expected,impact,root_cause,owner,status,evidence,test,pr,exception
SEC-001,P0,auth,/api/auth/register,all,profiles role bootstrap,"user metadata could grant admin","signup starts with tourist and admin requires explicit staff","account takeover","authorization trusted editable metadata",engineering,closed,"migration 20260715032401 and production read-only verification",src/lib/auth-role-security.test.ts,pending,
SEC-002,P1,auth,/api/auth/lookup-phone,all,phone sign-in,"public API returned email and roles","credentials remain server-side and response is neutral","PII disclosure","client-side phone-to-email lookup",engineering,closed,"server-side sign-in-phone route",audit:quick,pending,
SEC-003,P1,auth,/api/auth/lookup-email,all,account lookup,"different account states were public","neutral continuation and generic duplicate registration response","account enumeration","lookup-driven auth UX",engineering,closed,"neutral lookup contracts and explicit registration",audit:quick,pending,
SEC-004,P1,privacy,/profile/settings,all,delete automation,"completed request retained email name and reason","completed record contains operational evidence only","PII retained after deletion","metadata merge preserved original fields",engineering,closed,"completedDeleteMetadata and reason null",src/lib/privacy/delete-automation.test.ts,pending,
SEC-005,P1,booking,/booking/find,all,OTP verification,"parallel requests could reuse a challenge","single conditional database consume","OTP replay","separate read update operations",engineering,closed,"consume_booking_lookup_challenge RPC",migration dry-run and privilege query,pending,
SEC-006,P1,privacy,sitewide,all,first-touch attribution,"cookie and storage were written before consent","write only after personalization consent and erase on revoke","consent violation","middleware captured UTM unconditionally",engineering,closed,"consent-gated middleware and client capture",src/lib/cookie-consent.test.ts,pending,
ROUTE-001,P1,routing,/organizers/[slug],all,workspace detection,"public organizer profiles matched protected prefix","only exact /organizer segment is protected","broken public profile journey","prefix check matched plural route",engineering,closed,"isWorkspacePath segment helper",src/lib/internal-route-access.test.ts,pending,
SEO-001,P1,seo,/en/legal/[slug],all,CMS locale metadata,"Russian fallback was indexable as English","fallback is noindex and hreflang only names published locales","mixed-language indexing","metadata ignored locale publication state",engineering,closed,"cms fallback robots and hreflang changes",audit:quick,pending,
UX-001,P1,catalog,/tours,mobile,tour price,"raw fractional USD values appeared in SSR","rounded public and SEO price","trust and conversion loss","raw converted number serialized",engineering,closed,"public price formatter",src/lib/tour-price-public.test.ts,pending,
UX-002,P2,media,/tours,mobile,SafeImage,"loading skeleton exposed Нет фото with a valid image","loading state is decorative","misleading card state","semantic placeholder reused as loader",engineering,closed,"decorative skeleton mode",audit:quick,pending,
UX-003,P2,contacts,/contacts,mobile,office map,"location note appeared twice","one visible note","visual duplication","caption duplicated parent copy",engineering,closed,"single ContactOfficeMap caption",stage2 visual acceptance,pending,
CMS-001,P2,cms,/admin/settings,desktop,site globals,"menu settings lacked preview and dirty-state controls","owner sees preview reset and save state","unsafe editorial changes","form had only raw controls",engineering,closed,"SiteNavigationPreview and dirty reset",audit:quick,pending,
SEARCH-001,P2,search,/api/search,all,static index,"three navigation IDs were duplicated","stable unique IDs and validated kinds","unstable indexing and slow invalid fallback","nav IDs omitted destination URL",engineering,closed,"URL-qualified IDs and API validation",audit:quick,pending,
PERF-001,P2,performance,sitewide,mobile,LCP,"baseline exceeds target on most sampled routes","incremental image and SSR optimization with measured budgets","slow first view","large content and media surface",engineering,open_exception,"performance-baseline.json",lighthouse phase2,pending,"No functional release blocker; owner engineering; revisit after post-release RUM baseline"
EMAIL-001,P1,notifications,commercial flows,all,email delivery,"delivery ledger retry and bounce handling are incomplete","durable provider delivery evidence and retry queue","silent notification loss","best-effort direct sending",engineering,open_exception,"email-notification-inventory.csv",test-matrix.md,pending,"Primary UI and operator records remain source of truth; owner engineering; enable durable email workflow before claiming guaranteed delivery"
I18N-001,P1,localization,/en and /es,all,translated content,"many non-Russian documents are fallback or incomplete","editor-reviewed localized documents","incomplete multilingual promise","translation backlog exceeds reviewed inventory",editorial,open_exception,"knowledge-review.csv and noindex fallback",CMS publication tests,pending,"RU remains primary locale; fallback is noindex; owner editorial; publish locale only after review"
