id,source,target,category,intended_status,production_result,mechanism,target_check,query_policy,release_status,notes
R001,http://goargentina.ru/,https://www.goargentina.ru/,host-canonicalization,308,308 -> https://goargentina.ru/ -> 308 -> https://www.goargentina.ru/,platform,final 200 self-canonical,preserved,WARN,"Two-hop HTTP bare-domain chain; collapse to one hop when DNS/platform settings permit"
R002,https://goargentina.ru/,https://www.goargentina.ru/,host-canonicalization,308,308,platform,final 200 self-canonical,preserved,PASS,"Single-hop bare-domain canonicalization"
R003,http://www.goargentina.ru/,https://www.goargentina.ru/,scheme-canonicalization,308,308,platform,final 200 self-canonical,preserved,PASS,"Single-hop HTTPS canonicalization"
R004,/map,/mapa-argentina,legacy-exact,308,308,next.config + static middleware,200 self-canonical,preserved,WARN,"Same mapping exists in next.config.ts and CONTENT_PLAN_URL_REDIRECTS; production resolves through Next.js first"
R005,/map/,/mapa-argentina,legacy-trailing-slash,308,308 -> /map -> 308 -> /mapa-argentina,platform + next.config,200 self-canonical,preserved,WARN,"Two-hop chain caused by trailing-slash normalization before the legacy redirect"
R006,/en/map,/mapa-argentina,localized-legacy,301,301,static middleware,200 RU self-canonical,preserved,WARN,"Locale prefix is dropped; acceptable only while no complete English map replacement is published"
R007,/es/map,/mapa-argentina,localized-legacy,301,not separately sampled,static middleware,200 RU self-canonical,preserved,REVIEW,"Code path is shared with /en/map; verify locale policy before release"
R008,/blog/blue-dollar-argentina-2025,/blog/blue-dollar-argentina-2026,dated-content,308,308,next.config,200 self-canonical,preserved,PASS,"Exact successor"
R009,/blog/argentina-tourist-visa-2025,/blog/argentina-tourist-visa-2026,dated-content,308,308,next.config,200 self-canonical,preserved,PASS,"Exact successor"
R010,/marshruty/argentina-2-nedeli,/blog/argentina-2-nedeli-marshrut,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R011,/marshruty/argentina-10-dnej,/blog/argentina-10-dnej-3-nedeli,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R012,/marshruty/ruta-40-sem-ozer,/blog/ruta-40-sem-ozer,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R013,/dengi/stoimost-zhizni-ba,/blog/stoimost-zhizni-buenos-aires,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R014,/dengi/kak-menyat-dengi,/blog/kak-menyat-dengi-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R015,/dengi/kak-menyat-valyutu,/blog/kak-menyat-dengi-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R016,/dengi/byudzhet-poezdki,/blog/byudzhet-poezdki-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R017,/transport/vnutrennie-aviabilety,/blog/vnutrennie-aviabilety-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R018,/transport/kak-dobratsya-v-argentinu,/blog/kak-dobratsya-v-argentinu,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R019,/goroda/buenos-aires-rajony,/blog/buenos-aires-rajony,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R020,/goroda/mendoza-vino,/blog/mendoza-vinnyj-gid,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R021,/pereezd/vnzh-argentina,/blog/vnzh-argentina-rezidenciya,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R022,/pereezd/viza-cifrovogo-kochevnika,/blog/viza-cifrovogo-kochevnika-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R023,/pereezd/dni-cuil,/blog/dni-cuil-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R024,/pereezd/grazhdanstvo,/blog/grazhdanstvo-argentiny,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
R025,/pereezd/bankovskij-schet,/blog/bankovskij-schet-argentina,content-plan-legacy,301,301,static middleware + duplicate enabled CMS row,200 self-canonical,preserved,PASS,"Exact topic replacement"
